 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series01.tif:z:10/68 t:1/95 - Mark_and_Find 001/mN10 Control001,4.068664892E1,8.692006680E3,1.472043419E3,6.976213379E3,6.965000000E3,1.270625000E4,1.333129218E2,2.832102262E2,0.000000000E0,0.000000000E0,3.064388776E1,1.326750609E2,2.679015653E2,2.551443479E0,3.189304349E1,0.000000000E0,0.000000000E0,-8.761405597E1,5.444701306E-1,3.064388776E1,3.536486242E5,8.342750000E3,0.000000000E0,0.000000000E0,0.000000000E0,2.173001670E5,1.000000000E1,1.000000000E0,1.040000000E2,2.100000000E2,9.238594403E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,3.064388776E1
2,series01.tif:z:10/68 t:2/95 - Mark_and_Find 001/mN10 Control001,4.394158083E1,7.561554272E3,5.649910413E2,7.402624237E3,6.008894531E3,8.807285156E3,1.345631577E2,2.853503537E2,0.000000000E0,0.000000000E0,3.263028349E1,1.339507827E2,2.691772871E2,2.551443479E0,3.316876523E1,0.000000000E0,0.000000000E0,-9.127303002E1,5.186135352E-1,3.263029264E1,3.322666483E5,7.452989258E3,0.000000000E0,0.000000000E0,0.000000000E0,2.041619653E5,1.000000000E1,2.000000000E0,1.051958923E2,2.364633789E2,8.872696428E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,3.263028349E1
3,series01.tif:z:10/68 t:3/95 - Mark_and_Find 001/mN10 Control001,4.719651275E1,7.582364611E3,1.079803148E3,7.419044338E3,4.868729492E3,9.722860352E3,1.360130317E2,2.860752956E2,0.000000000E0,0.000000000E0,3.552937992E1,1.352265044E2,2.679015653E2,2.551443479E0,3.699593045E1,0.000000000E0,0.000000000E0,-8.883086067E1,4.698340834E-1,3.552938338E1,3.578611680E5,7.546617188E3,0.000000000E0,0.000000000E0,0.000000000E0,2.198885737E5,1.000000000E1,3.000000000E0,1.063324051E2,2.103235321E2,9.116914477E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,3.552937992E1
4,series01.tif:z:9/68 t:4/95 - Mark_and_Find 001/mN10 Control001,4.882397870E1,7.312781982E3,6.992641715E2,6.951553409E3,5.852651855E3,8.624265625E3,1.367379688E2,2.875251697E2,0.000000000E0,0.000000000E0,3.703577014E1,1.352265044E2,2.691772871E2,3.827165219E0,3.827165219E1,0.000000000E0,0.000000000E0,-8.663353934E1,4.473014144E-1,3.703578045E1,3.570391118E5,7.062421875E3,0.000000000E0,0.000000000E0,0.000000000E0,2.193834595E5,9.000000000E0,4.000000000E0,1.063324051E2,2.108917847E2,9.336646066E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,3.703577014E1
5,series01.tif:z:9/68 t:5/95 - Mark_and_Find 001/mN10 Control001,5.370637658E1,7.256191170E3,5.367750085E2,6.937766262E3,6.348735352E3,8.550077148E3,1.338382158E2,2.900624516E2,0.000000000E0,0.000000000E0,4.075804780E1,1.313993392E2,2.691772871E2,5.102886958E0,4.209881741E1,0.000000000E0,0.000000000E0,-8.489783475E1,4.062645874E-1,4.075806531E1,3.897037355E5,7.155162109E3,0.000000000E0,0.000000000E0,0.000000000E0,2.394543086E5,9.000000000E0,5.000000000E0,1.034911194E2,2.114600372E2,9.510215990E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,4.075804780E1
6,series01.tif:z:8/68 t:6/95 - Mark_and_Find 001/mN10 Control001,5.696130849E1,7.399485240E3,8.586495360E2,7.158123927E3,5.506013184E3,1.033961719E4,1.345631577E2,2.896999856E2,0.000000000E0,0.000000000E0,4.277751082E1,1.339507827E2,2.679015653E2,2.551443479E0,4.465026089E1,0.000000000E0,0.000000000E0,-8.902897807E1,3.911639307E-1,4.277750980E1,4.214843614E5,7.329799316E3,0.000000000E0,0.000000000E0,0.000000000E0,2.589819834E5,8.000000000E0,6.000000000E0,1.051958923E2,2.103235321E2,9.097102657E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,4.277751082E1
7,series01.tif:z:8/68 t:7/95 - Mark_and_Find 001/mN10 Control001,5.696130849E1,7.243488518E3,6.962719785E2,6.294689919E3,5.894554199E3,8.487838867E3,1.327508127E2,2.900624516E2,0.000000000E0,0.000000000E0,4.349630615E1,1.326750609E2,2.679015653E2,1.275721740E0,4.465026089E1,0.000000000E0,0.000000000E0,-9.000000000E1,3.783424463E-1,4.349629878E1,4.125985840E5,7.201649414E3,0.000000000E0,0.000000000E0,0.000000000E0,2.535220981E5,8.000000000E0,7.000000000E0,1.040593796E2,2.103235321E2,9.000000000E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,4.349630615E1
8,series01.tif:z:8/68 t:8/95 - Mark_and_Find 001/mN10 Control001,5.858877445E1,7.160394246E3,9.398147702E2,6.090558154E3,5.449990723E3,1.065587207E4,1.331132837E2,2.915123257E2,0.000000000E0,0.000000000E0,4.509210309E1,1.313993392E2,2.691772871E2,5.102886958E0,4.592598262E1,0.000000000E0,0.000000000E0,-8.538935068E1,3.620956396E-1,4.509210244E1,4.195187234E5,7.161927246E3,0.000000000E0,0.000000000E0,0.000000000E0,2.577741929E5,8.000000000E0,8.000000000E0,1.029228668E2,2.108917847E2,9.461064654E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,4.509210309E1
9,series01.tif:z:8/68 t:9/95 - Mark_and_Find 001/mN10 Control001,6.021624040E1,7.168833641E3,8.852620965E2,6.953146009E3,5.786694336E3,1.021057031E4,1.352880947E2,2.904249274E2,0.000000000E0,0.000000000E0,4.572287345E1,1.339507827E2,2.679015653E2,3.827165219E0,4.720170436E1,0.000000000E0,0.000000000E0,-8.727368901E1,3.619565744E-1,4.572286673E1,4.316802099E5,7.035809570E3,0.000000000E0,0.000000000E0,0.000000000E0,2.652468447E5,8.000000000E0,9.000000000E0,1.051958923E2,2.097552795E2,9.272631215E1,4.440892099E-16,0.000000000E0,0.000000000E0,NaN,4.572287345E1
10,series01.tif:z:8/68 t:10/95 - Mark_and_Find 001/mN10 Control001,6.184370636E1,7.219777254E3,6.086147194E2,7.244619375E3,6.100628906E3,8.703842773E3,1.320258757E2,2.875251697E2,0.000000000E0,0.000000000E0,4.714329885E1,1.313993392E2,2.640744001E2,2.551443479E0,4.847742610E1,0.000000000E0,0.000000000E0,-8.823760898E1,3.496756860E-1,4.714329889E1,4.464977845E5,7.130125488E3,0.000000000E0,0.000000000E0,0.000000000E0,2.743515356E5,8.000000000E0,1.000000000E1,1.029228668E2,2.069139862E2,9.176238757E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,4.714329885E1
