 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series01.tif:z:9/68 t:1/95 - Mark_and_Find 001/mN10 Control001,3.092185318E1,8.845701789E3,1.221137653E3,6.766343750E3,6.756000000E3,1.205200000E4,2.793830610E2,2.481278783E2,0.000000000E0,0.000000000E0,2.299840073E1,2.730044523E2,2.385599653E2,1.403293914E1,2.041154783E1,0.000000000E0,0.000000000E0,5.630993247E1,7.346493590E-1,2.299840073E1,2.735254920E5,8.531629883E3,0.000000000E0,0.000000000E0,0.000000000E0,1.680683340E5,9.000000000E0,1.000000000E0,2.140000000E2,2.020000000E2,5.630993247E1,1.776356839E-15,0.000000000E0,0.000000000E0,NaN,2.299840073E1
2,series01.tif:z:9/68 t:2/95 - Mark_and_Find 001/mN10 Control001,3.092185318E1,7.591846937E3,7.629133211E2,6.281972393E3,6.276619141E3,9.017484375E3,2.806382558E2,2.512782410E2,0.000000000E0,0.000000000E0,2.320935434E1,2.730044523E2,2.423871305E2,1.658438261E1,1.913582609E1,0.000000000E0,0.000000000E0,5.134019175E1,7.213553541E-1,2.320935979E1,2.347539763E5,7.799258301E3,0.000000000E0,0.000000000E0,0.000000000E0,1.442450918E5,9.000000000E0,2.000000000E0,2.143013306E2,2.040726929E2,5.134016923E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.320935434E1
3,series01.tif:z:9/68 t:3/95 - Mark_and_Find 001/mN10 Control001,3.417678509E1,7.067680618E3,1.250631866E3,7.211435306E3,5.568677246E3,1.037491797E4,2.773760320E2,2.491034251E2,0.000000000E0,0.000000000E0,2.563044420E1,2.640744001E2,2.474900175E2,2.679015653E1,5.102886958E0,0.000000000E0,0.000000000E0,8.130102354E0,6.537757472E-1,2.563045867E1,2.415506016E5,7.106992676E3,0.000000000E0,0.000000000E0,0.000000000E0,1.484212930E5,9.000000000E0,3.000000000E0,2.074822388E2,1.966853485E2,8.130114662E0,4.440892099E-16,0.000000000E0,0.000000000E0,NaN,2.563044420E1
4,series01.tif:z:8/68 t:4/95 - Mark_and_Find 001/mN10 Control001,3.254931914E1,7.306037085E3,8.249356635E2,6.148024076E3,6.141540039E3,9.461367188E3,2.730264001E2,2.433039290E2,0.000000000E0,0.000000000E0,2.366899014E1,2.653501218E2,2.347328001E2,1.658438261E1,1.913582609E1,0.000000000E0,0.000000000E0,-4.996974073E1,7.301167552E-1,2.366897924E1,2.378065327E5,7.109613281E3,0.000000000E0,0.000000000E0,0.000000000E0,1.461207417E5,8.000000000E0,4.000000000E0,2.080505066E2,1.836154327E2,1.300302333E2,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.366899014E1
5,series01.tif:z:8/68 t:5/95 - Mark_and_Find 001/mN10 Control001,3.743171701E1,7.403810887E3,7.552578784E2,6.144493934E3,6.139058105E3,8.922202148E3,2.701266521E2,2.494659009E2,0.000000000E0,0.000000000E0,2.755719757E1,2.589715131E2,2.411114088E2,2.423871305E1,1.786010435E1,0.000000000E0,0.000000000E0,3.536246189E1,6.194118548E-1,2.755719619E1,2.771373539E5,7.545661621E3,0.000000000E0,0.000000000E0,0.000000000E0,1.702876504E5,8.000000000E0,5.000000000E0,2.029361877E2,2.017996674E2,3.536245869E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.755719757E1
6,series01.tif:z:8/68 t:6/95 - Mark_and_Find 001/mN10 Control001,3.580425105E1,8.407031672E3,2.478150221E3,4.814777558E3,4.795709473E3,1.455856934E4,2.860752859E2,2.704891084E2,0.000000000E0,0.000000000E0,2.658656737E1,2.742801740E2,2.640744001E2,2.551443479E1,1.403293914E1,0.000000000E0,0.000000000E0,2.586635679E1,6.365315294E-1,2.658657193E1,3.010074726E5,8.232777344E3,0.000000000E0,0.000000000E0,0.000000000E0,1.849546968E5,8.000000000E0,6.000000000E0,2.148695831E2,2.165743561E2,2.586634421E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.658656737E1
7,series01.tif:z:8/68 t:7/95 - Mark_and_Find 001/mN10 Control001,3.743171701E1,9.295771548E3,1.544451440E3,6.403587802E3,6.394487793E3,1.105369238E4,2.976743073E2,2.632397285E2,0.000000000E0,0.000000000E0,2.801115587E1,2.946917218E2,2.500414610E2,6.378608698E0,2.806587827E1,0.000000000E0,0.000000000E0,-7.956252465E1,5.994977429E-1,2.801116887E1,3.479566899E5,9.885661133E3,0.000000000E0,0.000000000E0,0.000000000E0,2.138027456E5,8.000000000E0,7.000000000E0,2.313490601E2,1.955488281E2,1.004374599E2,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.801115587E1
8,series01.tif:z:8/68 t:8/95 - Mark_and_Find 001/mN10 Control001,4.394158083E1,8.508443622E3,3.198416891E3,9.662960482E3,3.656184326E3,1.475896191E4,2.944120835E2,2.661394863E2,0.000000000E0,0.000000000E0,3.280696857E1,2.832102262E2,2.551443479E2,2.423871305E1,2.423871305E1,0.000000000E0,0.000000000E0,4.500000000E1,5.130424914E-1,3.280697311E1,3.738744632E5,9.357841797E3,0.000000000E0,0.000000000E0,0.000000000E0,2.297279778E5,8.000000000E0,8.000000000E0,2.216886749E2,2.177108765E2,4.499997596E1,3.552713679E-15,0.000000000E0,0.000000000E0,NaN,3.280696857E1
9,series01.tif:z:6/68 t:9/95 - Mark_and_Find 001/mN10 Control001,3.417678509E1,9.280989049E3,2.765264189E3,4.453715990E3,4.437295898E3,1.284438281E4,2.980367734E2,2.646896026E2,0.000000000E0,0.000000000E0,2.532101099E1,2.934160001E2,2.525929044E2,1.148149566E1,2.551443479E1,0.000000000E0,0.000000000E0,-1.136293777E2,6.698522000E-1,2.532100094E1,3.171943682E5,9.470770508E3,0.000000000E0,0.000000000E0,0.000000000E0,1.949007700E5,6.000000000E0,9.000000000E0,2.296442871E2,2.165743561E2,6.637063740E1,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.532101099E1
10,series01.tif:z:6/68 t:10/95 - Mark_and_Find 001/mN10 Control001,3.417678509E1,8.516429420E3,4.078417490E3,4.019002422E3,3.993554688E3,1.702279492E4,2.947745495E2,2.639646704E2,0.000000000E0,0.000000000E0,2.553800791E1,2.819345044E2,2.627986784E2,2.679015653E1,3.827165219E0,0.000000000E0,0.000000000E0,6.519801752E0,6.585170701E-1,2.553800359E1,2.910641781E5,8.143747070E3,0.000000000E0,0.000000000E0,0.000000000E0,1.788450178E5,6.000000000E0,1.000000000E1,2.211204224E2,2.080505066E2,6.519833985E0,0.000000000E0,0.000000000E0,0.000000000E0,NaN,2.553800791E1
