 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series01.tif:z:3/68 t:1/95 - Mark_and_Find 001/mN10 Control001,48.823978705,8656.431233724,1359.987959870,6609.578548431,6599.746093750,11633.962890625,330.296536286,364.006163461,0,0,36.571689151,316.378991414,352.099200122,29.341600010,24.238713052,0,0,39.369317242,0.458725616,36.571691092,422641.414213727,8355.751953125,0,0,0,259692.937011719,3,1,247.828521729,294.425628662,39.369301525,0.000000000,0.000000000,0.000000000,NaN,36.571689151
2,series01.tif:z:3/68 t:2/95 - Mark_and_Find 001/mN10 Control001,52.078910618,7410.345367432,1241.684820197,6654.720573425,5183.662109375,10042.900390625,328.846652522,365.093571418,0,0,40.036033694,313.827547935,352.099200122,30.617321750,28.065878271,0,0,42.064326554,0.408290865,40.036043890,385922.714041267,7355.311523438,0,0,0,237131.051757812,3,2,246.123748779,296.698669434,42.064352784,3.553E-15,0.000000000,0.000000000,NaN,40.036033694
3,series01.tif:z:2/68 t:3/95 - Mark_and_Find 001/mN10 Control001,58.588774446,7896.103230794,1839.196737357,4159.042243958,4143.074218750,12318.703125000,328.484196181,366.180979374,0,0,44.191524005,313.827547935,349.547756643,30.617321750,34.444486969,0,0,48.990913098,0.377004314,44.191554605,462623.011188153,7334.882324219,0,0,0,284259.716308594,2,3,246.123748779,300.108215332,48.990911442,3.553E-15,0.000000000,0.000000000,NaN,44.191524005
4,series01.tif:z:2/68 t:4/95 - Mark_and_Find 001/mN10 Control001,56.961308489,7602.166043527,999.775409408,7831.767596245,5236.253417969,9325.186523438,326.309380269,366.543455181,0,0,43.815317442,312.551826196,349.547756643,29.341600010,35.720208708,0,0,51.044092162,0.372853218,43.815341653,433029.325188216,7621.535156250,0,0,0,266075.811523438,2,4,244.987243652,300.676483154,51.044126697,0.000000000,0.000000000,0.000000000,NaN,43.815317442
5,series01.tif:z:2/68 t:5/95 - Mark_and_Find 001/mN10 Control001,68.353570187,7502.799223400,1198.145838840,6838.986668587,5433.937988281,11479.189453125,326.309370536,367.630863137,0,0,52.376488431,308.724660977,348.272034904,35.720208708,40.823095666,0,0,48.366460663,0.313110990,52.376490068,512843.113312131,7290.489257812,0,0,0,315117.567382812,2,5,242.145950317,303.517761230,48.366476579,0.000000000,0.000000000,0.000000000,NaN,52.376488431
6,series01.tif:z:2/68 t:6/95 - Mark_and_Find 001/mN10 Control001,60.216240402,7573.086716111,806.778771568,6730.807923317,5794.530761719,9194.345703125,323.047146667,369.080746901,0,0,45.763084542,299.794608800,367.407860997,47.201704364,3.827165219,0,0,3.632950739,0.361320766,45.763078667,456022.810285683,7633.489746094,0,0,0,280204.208496094,2,6,235.326858521,290.447845459,3.632968499,0.000000000,0.000000000,0.000000000,NaN,45.763084542
7,series01.tif:z:2/68 t:7/95 - Mark_and_Find 001/mN10 Control001,61.843706359,7597.655337685,1292.594238100,6854.389320374,5658.900390625,10555.623046875,321.234796829,366.180979374,0,0,47.226832017,313.827547935,343.169147945,15.308660875,47.201704364,0,0,-72.121303404,0.348439792,47.226828819,469867.165722513,7195.884277344,0,0,0,288710.902832031,2,7,246.123748779,269.422302246,107.878686446,0.000000000,0.000000000,0.000000000,NaN,47.226832017
8,series01.tif:z:2/68 t:8/95 - Mark_and_Find 001/mN10 Control001,66.726104230,7117.578101181,998.616024281,6952.075239182,4995.720703125,9788.321289062,321.597272636,364.731115076,0,0,50.480915032,316.378991414,340.617704466,11.481495656,49.753147843,0,0,-77.560437981,0.329041894,50.480916401,474928.258242513,6945.868164062,0,0,0,291820.702148438,2,8,247.828521729,266.581024170,102.439565192,1.776E-15,0.000000000,0.000000000,NaN,50.480915032
9,series01.tif:z:2/68 t:9/95 - Mark_and_Find 001/mN10 Control001,74.863434014,7220.568423064,1105.588622969,5289.159561157,4936.446289062,9566.938476562,320.147398606,367.993319479,0,0,57.274724463,320.206156633,339.341982727,1.275721740,58.683200020,0,0,-89.274775701,0.286783124,57.274714359,540556.547682300,7178.335937500,0,0,0,332146.147460938,2,9,250.669815063,266.012756348,90.725218137,0.000000000,0.000000000,0.000000000,NaN,57.274724463
10,series01.tif:z:2/68 t:10/95 - Mark_and_Find 001/mN10 Control001,73.235968057,7204.465907118,929.205539437,6937.335826874,5770.637695312,11353.342773438,321.234806562,368.355814752,0,0,56.303033291,315.103269675,340.617704466,12.757217396,56.131756541,0,0,-78.111341960,0.290315822,56.303022218,527626.035041414,7038.303222656,0,0,0,324200.965820312,2,10,247.260269165,267.149291992,101.888657019,1.776E-15,0.000000000,0.000000000,NaN,56.303033291
