 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series01.tif:z:2/68 t:1/95 - Mark_and_Find 001/mN10 Control001,45.569046791,7757.120413644,845.314646950,7777.850054741,5986.814941406,9760.518554688,532.613826272,448.416191460,0,0,35.030120346,529.424521923,431.193947976,7.654330437,35.720208708,0,0,-79.508522988,0.466655673,35.030120346,353484.583092916,7836.611328125,0,0,0,217199.371582031,2,1,415.000000000,338.000000000,100.491477012,0.000000000,0.000000000,0.000000000,NaN,35.030120346
2,series01.tif:z:1/68 t:2/95 - Mark_and_Find 001/mN10 Control001,43.941580834,6908.838885272,933.343352445,7737.282092094,4508.267089844,8590.379882812,528.567201720,449.911372534,0,0,33.793330018,521.770191486,433.745391455,14.032939135,33.168765229,0,0,-67.285587647,0.483530153,33.793315476,303585.302347626,7004.965332031,0,0,0,186538.649902344,1,2,409.213653564,340.454498291,112.714429345,0.000000000,0.000000000,0.000000000,NaN,33.793330018
3,series01.tif:z:1/68 t:3/95 - Mark_and_Find 001/mN10 Control001,40.686648921,7035.242402344,1091.938980420,5047.769123077,5039.836914062,9101.127929688,531.466969247,449.911392000,0,0,30.039055548,529.424521923,435.021113195,5.102886958,30.617321750,0,0,98.325650330,0.566616527,30.039051063,286240.437695150,7228.385742188,0,0,0,175881.060058594,1,3,414.896240234,341.022766113,98.325653915,8.882E-16,0.000000000,0.000000000,NaN,30.039055548
4,series01.tif:z:1/68 t:4/95 - Mark_and_Find 001/mN10 Control001,45.569046791,6838.352329799,907.324728044,5550.024044037,4871.581054688,8606.665039062,531.829425588,455.710888122,0,0,34.992831612,528.148800184,438.848278414,8.930052177,35.720208708,0,0,-76.827446577,0.467650749,34.992834624,311617.197290094,6806.253906250,0,0,0,191473.865234375,1,4,413.759704590,343.864044189,103.172599644,0.000000000,0.000000000,0.000000000,NaN,34.992831612
5,series01.tif:z:1/68 t:5/95 - Mark_and_Find 001/mN10 Control001,43.941580834,6702.191478588,1133.637345688,5818.560108185,4446.698242188,9224.883789062,530.379561291,461.147927903,0,0,33.418010689,529.424521923,443.951165372,3.827165219,35.720208708,0,0,93.731396999,0.494452246,33.418032934,294504.888622643,6458.644531250,0,0,0,180959.169921875,1,5,414.896240234,348.410095215,93.731395551,0.000000000,0.000000000,0.000000000,NaN,33.418010689
6,series01.tif:z:1/68 t:6/95 - Mark_and_Find 001/mN10 Control001,48.823978705,7096.485839844,1542.786425878,6946.990299225,5294.737304688,12781.051757812,530.017085483,457.523247693,0,0,36.964752303,526.873078444,438.848278414,7.654330437,38.271652187,0,0,101.309932474,0.449021804,36.964752405,346478.673522481,6950.304687500,0,0,0,212894.575195312,1,6,412.623199463,344.432312012,101.309956143,8.882E-16,0.000000000,0.000000000,NaN,36.964752303
7,series01.tif:z:1/68 t:7/95 - Mark_and_Find 001/mN10 Control001,42.314114877,7450.959904597,1270.629823771,7458.715592384,5695.798339844,11673.372070312,528.567201720,452.811140061,0,0,31.707252521,525.597356705,437.572556674,7.654330437,31.893043489,0,0,-79.460816271,0.528905279,31.707240571,315280.773349851,7209.925781250,0,0,0,193724.957519531,1,7,412.054931641,342.727539062,100.539238417,0.000000000,0.000000000,0.000000000,NaN,31.707252521
8,series01.tif:z:1/68 t:8/95 - Mark_and_Find 001/mN10 Control001,39.059182964,7402.144632975,2130.324257820,6540.909593582,4392.560546875,13192.198242188,529.654609676,450.636324148,0,0,29.375664725,525.597356705,436.296834934,8.930052177,29.341600010,0,0,-74.248826337,0.568797414,29.375679942,289121.721543381,6872.071289062,0,0,0,177651.471191406,1,8,412.054931641,342.159271240,105.751222386,0.000000000,0.000000000,0.000000000,NaN,29.375664725
9,series01.tif:z:1/68 t:9/95 - Mark_and_Find 001/mN10 Control001,50.451444661,6418.351877520,838.710597543,5332.178068161,5271.546875000,8720.788085938,530.017085483,458.610636183,0,0,38.748620581,524.321634965,440.124000153,12.757217396,38.271652187,0,0,-72.582029208,0.422251283,38.748635244,323815.124566654,6356.613769531,0,0,0,198968.908203125,1,9,410.918426514,345.000549316,107.417989101,0.000000000,0.000000000,0.000000000,NaN,38.748620581
10,series01.tif:z:1/68 t:10/95 - Mark_and_Find 001/mN10 Control001,45.569046791,7050.061523438,1754.552239629,4929.820199013,4915.169433594,12416.361328125,530.742017632,457.160752419,0,0,34.834781667,526.873078444,440.124000153,8.930052177,35.720208708,0,0,-102.011478386,0.471903961,34.834773261,321264.583441091,6654.120117188,0,0,0,197401.722656250,1,10,413.191467285,371.708648682,77.988558927,0.000000000,0.000000000,0.000000000,NaN,34.834781667
11,series01.tif:z:1/68 t:11/95 - Mark_and_Find 001/mN10 Control001,43.941580834,7037.626699942,1104.882410826,6473.427973747,5252.301269531,10688.969726562,531.104493440,454.623480166,0,0,33.355046882,530.700243663,437.572556674,2.551443479,34.444486969,0,0,-88.754635733,0.496320747,33.355069416,309244.442516414,6952.257324219,0,0,0,190015.920898438,1,11,416.032745361,343.295776367,91.245386069,0.000000000,0.000000000,0.000000000,NaN,33.355046882
12,series01.tif:z:1/68 t:12/95 - Mark_and_Find 001/mN10 Control001,45.569046791,6545.530343192,861.725582555,5755.599642754,5128.018066406,8738.375000000,530.017066017,453.898548017,0,0,35.067843127,528.148800184,436.296834934,5.102886958,35.720208708,0,0,-97.125016349,0.465652242,35.067852881,298273.578480954,6489.039062500,0,0,0,183274.849609375,1,12,413.759704590,369.435638428,82.874983651,0.000000000,0.000000000,0.000000000,NaN,35.067843127
13,series01.tif:z:1/68 t:13/95 - Mark_and_Find 001/mN10 Control001,45.569046791,6798.810651507,817.210215285,5453.426117897,5448.129394531,8160.051757812,527.479793764,455.348412314,0,0,34.804595542,526.873078444,437.572556674,2.551443479,36.995930448,0,0,-91.193489424,0.472722883,34.804604682,309815.320701792,6665.691406250,0,0,0,190366.698242188,1,13,413.191467285,370.572143555,88.806553294,1.110E-16,0.000000000,0.000000000,NaN,34.804595542
14,series01.tif:z:1/68 t:14/95 - Mark_and_Find 001/mN10 Control001,45.569046791,6796.099853516,825.138922185,5538.826370239,5533.228515625,8399.330078125,528.204725912,456.798296078,0,0,34.804595542,528.148800184,438.848278414,1.275721740,36.995930448,0,0,-91.193489424,0.472722883,34.804566569,309691.792221296,6634.226562500,0,0,0,190290.795898438,1,14,413.759704590,371.708648682,88.806487882,0.000000000,0.000000000,0.000000000,NaN,34.804595542
15,series01.tif:z:1/68 t:15/95 - Mark_and_Find 001/mN10 Control001,40.686648921,6521.220957031,900.427316975,6301.060898781,5136.602050781,9192.404296875,531.466969247,456.435820271,0,0,31.172352740,531.975965402,441.399721893,1.275721740,31.893043489,0,0,-90.000000000,0.526165807,31.172335456,265326.627612085,6398.532714844,0,0,0,163030.523925781,1,15,416.601013184,345.568817139,90.000000000,0.000000000,0.000000000,0.000000000,NaN,31.172352740
16,series01.tif:z:1/68 t:16/95 - Mark_and_Find 001/mN10 Control001,43.941580834,6516.555899161,1168.179961362,5300.203592300,5200.867187500,10852.004882812,531.829425588,459.335587798,0,0,33.582729026,528.148800184,442.675443632,8.930052177,34.444486969,0,0,-76.263731694,0.489613710,33.582744530,286347.767803545,6270.907226562,0,0,0,175947.009277344,1,16,413.759704590,347.273590088,103.736311321,0.000000000,0.000000000,0.000000000,NaN,33.582729026
17,series01.tif:z:1/68 t:17/95 - Mark_and_Find 001/mN10 Control001,43.941580834,6929.481065538,836.814117764,7953.204004288,5254.258300781,8103.454589844,532.191901396,456.435820271,0,0,32.750853983,530.700243663,440.124000153,3.827165219,34.444486969,0,0,-84.920392140,0.514802069,32.750864241,304492.352380388,7001.725097656,0,0,0,187095.988769531,1,17,416.032745361,345.000549316,95.079630474,0.000000000,0.000000000,0.000000000,NaN,32.750853983
18,series01.tif:z:1/68 t:18/95 - Mark_and_Find 001/mN10 Control001,42.314114877,6665.930757963,973.442448721,7490.520816803,4590.986816406,8067.711425781,532.916833545,457.523247693,0,0,32.028826955,531.975965402,441.399721893,3.827165219,33.168765229,0,0,-84.805571092,0.518338012,32.028820590,282062.959857066,7062.637207031,0,0,0,173314.199707031,1,18,416.601013184,346.137084961,95.194384770,0.000000000,0.000000000,0.000000000,NaN,32.028826955
19,series01.tif:z:1/68 t:19/95 - Mark_and_Find 001/mN10 Control001,40.686648921,6455.191582031,949.023601210,7053.849663734,4289.447265625,8146.052246094,531.829425588,458.248179842,0,0,30.867398479,529.424521923,442.675443632,6.378608698,31.893043489,0,0,-80.537677792,0.536613666,30.867402798,262640.113613016,6529.701171875,0,0,0,161379.789550781,1,19,414.896240234,347.273590088,99.462274687,0.000000000,0.000000000,0.000000000,NaN,30.867398479
20,series01.tif:z:1/68 t:20/95 - Mark_and_Find 001/mN10 Control001,42.314114877,6507.029127855,834.060258203,6776.585048676,4587.183593750,7641.607421875,531.829425588,457.885704034,0,0,31.382383095,529.424521923,442.675443632,5.102886958,31.893043489,0,0,-83.367485385,0.539912380,31.382407712,275339.178026466,6749.525878906,0,0,0,169182.757324219,1,20,415.464477539,346.705322266,96.632558948,4.441E-16,0.000000000,0.000000000,NaN,31.382383095
21,series01.tif:z:1/68 t:21/95 - Mark_and_Find 001/mN10 Control001,47.196512748,7146.994713093,1577.011074523,7006.418755531,5078.982910156,11702.118164062,531.829425588,459.335587798,0,0,35.882621873,529.424521923,441.399721893,6.378608698,36.995930448,0,0,98.130102354,0.460629171,35.882602490,337313.227085236,6835.035644531,0,0,0,207262.846679688,1,21,414.896240234,346.137084961,98.130067188,8.882E-16,0.000000000,0.000000000,NaN,35.882621873
22,series01.tif:z:1/68 t:22/95 - Mark_and_Find 001/mN10 Control001,42.314114877,6704.451829177,1644.266323931,4223.158441544,4211.284179688,10290.906250000,532.191901396,458.973111990,0,0,31.930225920,531.975965402,442.675443632,2.551443479,33.168765229,0,0,92.602562202,0.521544226,31.930221248,283692.944889612,6490.738281250,0,0,0,174315.747558594,1,22,416.601013184,347.273590088,92.602539997,0.000000000,0.000000000,0.000000000,NaN,31.930225920
23,series01.tif:z:1/68 t:23/95 - Mark_and_Find 001/mN10 Control001,45.569046791,7005.959289551,1549.950922629,5979.423813343,4085.485107422,9563.997070312,531.829425588,458.248179842,0,0,34.864941656,530.700243663,441.399721893,3.827165219,35.720208708,0,0,93.576334375,0.471087871,34.864951354,319254.886681519,7566.912109375,0,0,0,196166.860107422,1,23,416.032745361,345.568817139,93.576334375,0.000000000,0.000000000,0.000000000,NaN,34.864941656
24,series01.tif:z:1/68 t:24/95 - Mark_and_Find 001/mN10 Control001,50.451444661,7333.493983115,1623.355933341,8878.898509026,4129.037597656,10285.819335938,532.916833545,458.610655649,0,0,38.856970658,529.424521923,438.848278414,7.654330437,40.823095666,0,0,98.583621480,0.419899727,38.856972508,369985.365864463,7652.270507812,0,0,0,227338.313476562,1,24,415.464477539,344.432312012,98.583662178,0.000000000,0.000000000,0.000000000,NaN,38.856970658
25,series01.tif:z:1/68 t:25/95 - Mark_and_Find 001/mN10 Control001,45.569046791,6791.274684361,1376.737530918,5002.384617329,4050.350341797,9527.221679688,531.466949781,457.523228227,0,0,33.847716376,528.148800184,441.399721893,7.654330437,34.444486969,0,0,99.865806943,0.499828553,33.847697996,309471.913862316,6995.302734375,0,0,0,190155.691162109,1,25,414.327972412,345.568817139,99.865792828,0.000000000,0.000000000,0.000000000,NaN,33.847716376
26,series01.tif:z:1/68 t:26/95 - Mark_and_Find 001/mN10 Control001,40.686648921,6939.512656250,1329.939358615,6162.437231064,4540.081054688,9899.089843750,532.191881930,456.073344463,0,0,30.481915634,525.597356705,442.675443632,14.032939135,28.065878271,0,0,-64.653824058,0.550271819,30.481912385,282345.515124580,7088.935058594,0,0,0,173487.816406250,1,26,412.054931641,346.705322266,115.346186384,0.000000000,0.000000000,0.000000000,NaN,30.481915634
27,series01.tif:z:1/68 t:27/95 - Mark_and_Find 001/mN10 Control001,47.196512748,6915.590332031,1053.310856100,7608.607597351,3955.470703125,8235.576171875,531.829406122,459.335568332,0,0,36.232420121,525.597356705,442.675443632,14.032939135,34.444486969,0,0,-70.114834886,0.451778010,36.232413581,326391.747264565,7309.157226562,0,0,0,200552.119628906,1,27,412.054931641,346.705322266,109.885152796,0.000000000,0.000000000,0.000000000,NaN,36.232420121
28,series01.tif:z:1/68 t:28/95 - Mark_and_Find 001/mN10 Control001,52.078910618,6986.938766479,972.144411096,6744.475967407,5032.605468750,9929.128906250,531.829425588,458.248179842,0,0,39.233839602,526.873078444,438.848278414,11.481495656,39.547373927,0,0,-73.909183651,0.425157780,39.233825577,363872.159515078,7033.818359375,0,0,0,223582.040527344,1,28,412.623199463,344.432312012,106.090826854,0.000000000,0.000000000,0.000000000,NaN,39.233839602
29,series01.tif:z:1/68 t:29/95 - Mark_and_Find 001/mN10 Control001,50.451444661,7219.979492188,786.985482202,6713.608726501,4945.914062500,8640.035156250,531.829425588,458.973111990,0,0,38.856970658,526.873078444,440.124000153,11.481495656,39.547373927,0,0,-75.963756532,0.419899727,38.856987761,364258.395807162,7317.135253906,0,0,0,223819.364257812,1,29,413.191467285,345.000549316,104.036201699,0.000000000,0.000000000,0.000000000,NaN,38.856970658
30,series01.tif:z:1/68 t:30/95 - Mark_and_Find 001/mN10 Control001,55.333842532,6964.057006836,1255.725031619,6637.103790760,3951.416748047,10173.460937500,532.191901396,458.248179842,0,0,42.071419727,531.975965402,437.572556674,2.551443479,43.374539146,0,0,88.025065989,0.392849639,42.071405043,385348.033799800,7161.239257812,0,0,0,236777.938232422,1,30,416.601013184,375.686462402,88.025082434,0.000000000,0.000000000,0.000000000,NaN,42.071419727
31,series01.tif:z:1/68 t:31/95 - Mark_and_Find 001/mN10 Control001,61.843706359,7100.185675370,1356.484490499,6960.243132591,4152.285644531,9972.829101562,532.191881930,456.073363929,0,0,47.048448633,519.218748007,436.296834934,26.790156531,40.823095666,0,0,-56.309932474,0.351087008,47.048461720,439101.798003676,7279.298828125,0,0,0,269807.055664062,1,31,406.940612793,342.159271240,123.690067526,0.000000000,0.000000000,0.000000000,NaN,47.048448633
32,series01.tif:z:1/68 t:32/95 - Mark_and_Find 001/mN10 Control001,61.843706359,8433.648463199,1215.419941043,8403.295360565,6136.502929688,12088.286132812,532.191901396,454.985936507,0,0,47.675382085,528.148800184,431.193947976,8.930052177,48.477426104,0,0,-81.253837737,0.341914098,47.675384493,521568.079095144,8400.830078125,0,0,0,320478.641601562,1,32,414.327972412,338.181457520,98.746180049,8.882E-16,0.000000000,0.000000000,NaN,47.675382085
33,series01.tif:z:1/68 t:33/95 - Mark_and_Find 001/mN10 Control001,68.353570187,8494.242117746,1461.676190518,8438.561351776,5373.994140625,14139.683593750,531.466949781,456.798296078,0,0,52.516773901,528.148800184,431.193947976,7.654330437,53.580313062,0,0,-83.659808254,0.311440428,52.516748382,580611.774776695,8424.773437500,0,0,0,356758.168945312,1,33,414.327972412,337.613220215,96.340182365,0.000000000,0.000000000,0.000000000,NaN,52.516773901
34,series01.tif:z:1/68 t:34/95 - Mark_and_Find 001/mN10 Control001,69.981036143,7437.446902253,1537.474372210,7024.752036095,4141.875488281,11634.427734375,531.829425588,455.348431780,0,0,54.040744659,528.148800184,428.642504497,7.654330437,54.856034802,0,0,-83.065651099,0.301125534,54.040746809,520480.240480820,7215.004882812,0,0,0,319810.216796875,1,34,414.327972412,335.908447266,96.934350562,0.000000000,0.000000000,0.000000000,NaN,54.040744659
35,series01.tif:z:1/68 t:35/95 - Mark_and_Find 001/mN10 Control001,61.843706359,6827.247391550,1161.745494351,6731.444911957,4139.052734375,9224.511718750,531.104473974,457.160752419,0,0,47.570546328,528.148800184,433.745391455,7.654330437,48.477426104,0,0,-82.116860683,0.343422777,47.570546706,422222.282924922,7066.494140625,0,0,0,259435.400878906,1,35,413.759704590,339.886230469,97.883141460,0.000000000,0.000000000,0.000000000,NaN,47.570546328
36,series01.tif:z:1/68 t:36/95 - Mark_and_Find 001/mN10 Control001,63.471172316,6968.543431991,827.443935446,6761.822534561,4536.327148438,8679.794921875,531.104473974,461.147927903,0,0,49.066069797,525.597356705,437.572556674,12.757217396,48.477426104,0,0,102.804266065,0.331301833,49.066045481,442301.620963883,7050.298828125,0,0,0,271773.193847656,1,36,412.054931641,342.727539062,102.804276141,0.000000000,0.000000000,0.000000000,NaN,49.066069797
