 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series02.tif:z:1/9 t:1/95 - Mark_and_Find 001/mN 50 vv%002,39.059182964,6853.893798828,468.631557578,6390.195863724,6005.215820312,7607.734375000,304.561221145,344.432839716,0,0,29.142164451,289.588834883,343.169147945,30.617321750,3.827165219,0,0,5.710593137,0.577948857,29.142144149,267707.491902410,6852.172851562,0,0,0,164493.451171875,1,1,227.371261597,271.127075195,5.710547439,0.000000000,0.000000000,0.000000000,NaN,29.142164451
2,series02.tif:z:1/9 t:2/95 - Mark_and_Find 001/mN 50 vv%002,24.411989352,6496.406184896,834.103055923,6068.368238449,5683.497070312,8715.097656250,315.435290974,348.057519926,0,0,18.166905131,307.448939237,343.169147945,17.860104354,10.205773917,0,0,28.610459666,0.929503735,18.166904488,158590.198614101,6236.591796875,0,0,0,97446.092773438,1,2,241.009429932,276.241394043,28.610469465,8.882E-16,0.000000000,0.000000000,NaN,18.166905131
3,series02.tif:z:1/9 t:3/95 - Mark_and_Find 001/mN 50 vv%002,27.666921266,6506.347340303,591.803131997,6161.561502457,5788.995117188,7840.113281250,320.147388873,351.682219602,0,0,19.945690059,316.378991414,341.893426206,8.930052177,20.411547833,0,0,-109.093492000,0.873921786,19.945683344,180010.599593266,6389.111328125,0,0,0,110607.904785156,1,3,248.396774292,283.060485840,70.906495805,0.000000000,0.000000000,0.000000000,NaN,19.945690059
4,series02.tif:z:1/9 t:4/95 - Mark_and_Find 001/mN 50 vv%002,30.921853180,6547.087633635,862.097345286,6125.535363197,5281.600097656,8794.566406250,324.497030431,352.407151751,0,0,22.705738410,321.481878373,341.893426206,7.654330437,22.962991312,0,0,-106.699244234,0.753709723,22.705750319,202448.082561366,6532.855468750,0,0,0,124394.665039062,1,4,251.806320190,284.765258789,73.300708717,0.000000000,0.000000000,0.000000000,NaN,22.705738410
5,series02.tif:z:1/9 t:5/95 - Mark_and_Find 001/mN 50 vv%002,30.921853180,6248.778551604,574.012186384,6482.914532661,5521.842285156,7728.429687500,325.946914194,354.944443471,0,0,22.484781025,321.481878373,344.444869685,10.205773917,21.687269573,0,0,-110.772254682,0.768595881,22.484777447,193223.812924649,6374.676757812,0,0,0,118726.792480469,1,5,252.374588013,286.470031738,69.227718130,0.000000000,0.000000000,0.000000000,NaN,22.484781025
6,series02.tif:z:1/9 t:6/95 - Mark_and_Find 001/mN 50 vv%002,30.921853180,5763.106008429,435.908906968,5094.143795967,5091.175781250,6610.799316406,325.221972312,356.394327234,0,0,22.578079273,313.827547935,355.926365341,24.238713052,2.551443479,0,0,-5.527540152,0.762256946,22.578098470,178205.917851239,5728.937011719,0,0,0,109499.014160156,1,6,246.123748779,278.514434814,174.472463021,0.000000000,0.000000000,0.000000000,NaN,22.578079273
7,series02.tif:z:1/9 t:7/95 - Mark_and_Find 001/mN 50 vv%002,32.549319136,5941.303149414,413.623109177,5182.922035217,5179.269531250,7049.351562500,330.296536286,359.656531637,0,0,24.358362950,320.206156633,352.099200122,21.687269573,16.584382614,0,0,36.528855367,0.689375076,24.358362001,193385.372296630,5935.372070312,0,0,0,118826.062988281,1,7,251.238067627,287.606536865,36.528830838,0.000000000,0.000000000,0.000000000,NaN,24.358362950
8,series02.tif:z:1/9 t:8/95 - Mark_and_Find 001/mN 50 vv%002,35.804251050,5573.948464134,682.585615949,4658.272767067,4653.005859375,7349.662597656,333.196284347,362.193823356,0,0,26.198276104,320.206156633,358.477808820,26.790156531,7.654330437,0,0,14.420773128,0.655539745,26.198270823,199571.050150083,5464.718750000,0,0,0,122626.866210938,1,8,251.238067627,286.470031738,14.420780196,0.000000000,0.000000000,0.000000000,NaN,26.198276104
9,series02.tif:z:1/9 t:9/95 - Mark_and_Find 001/mN 50 vv%002,34.176785093,5456.068057106,554.014012290,5441.845273018,4708.299316406,6984.514648438,332.471342465,363.281231313,0,0,25.289859437,321.481878373,357.202087081,22.962991312,12.757217396,0,0,27.299572211,0.671503438,25.289848802,186470.865441927,5439.731933594,0,0,0,114577.429199219,1,9,251.806320190,289.311309814,27.299526701,0.000000000,0.000000000,0.000000000,NaN,25.289859437
10,series02.tif:z:1/9 t:10/95 - Mark_and_Find 001/mN 50 vv%002,37.431717007,5775.444187330,1006.363683161,5014.116280556,4802.507324219,8085.652343750,334.646168111,366.543455181,0,0,28.356122366,322.757600112,358.477808820,25.514434791,16.584382614,0,0,32.471192291,0.585000085,28.356130253,216184.792409340,5243.555175781,0,0,0,132835.216308594,1,10,252.942840576,293.289123535,32.471192291,0.000000000,0.000000000,0.000000000,NaN,28.356122366
