 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series04_masked.tif:z:5/23 t:1/95 - Mark_and_Find 001/mT8 Control005,110.667685064,8135.500143612,1352.673159301,7458.364173889,4944.879882812,12650.891601562,263.755469657,395.473739268,0,0,85.864118358,239.835687040,359.753530560,49.753147843,72.716139156,0,0,55.798376607,0.188628478,85.864147118,900336.967730621,8071.033203125,0,0,0,553214.009765625,5,1,187.833328247,337.833343506,55.798379181,0.000000000,0.000000000,0.000000000,NaN,85.864118358
2,series04_masked.tif:z:5/23 t:2/95 - Mark_and_Find 001/mT8 Control005,107.412753150,8234.606940992,1482.718175987,6076.346524239,5380.033691406,13302.526367188,263.330235566,395.048485711,0,0,83.149757974,239.835687040,361.029252299,48.477426104,70.164695677,0,0,-124.055780301,0.195228732,83.149757974,884501.802642192,8213.050781250,0,0,0,543484.058105469,5,2,188.166671753,336.666656494,55.944219699,0.000000000,0.000000000,0.000000000,NaN,83.149757974
3,series04_masked.tif:z:5/23 t:3/95 - Mark_and_Find 001/mT8 Control005,105.785287193,8415.341579026,2035.046841648,6065.471604347,5134.046386719,13216.922851562,263.011295398,394.516947963,0,0,82.150988255,239.835687040,361.029252299,47.201704364,68.888973937,0,0,55.651862007,0.196974292,82.151006022,890219.325768197,8100.514160156,0,0,0,546997.202636719,5,3,188.000000000,335.833343506,55.651875956,0.000000000,0.000000000,0.000000000,NaN,82.150988255
4,series04_masked.tif:z:5/23 t:4/95 - Mark_and_Find 001/mT8 Control005,102.530355280,7463.466219463,1995.750703834,7487.169644356,3800.996582031,14710.364257812,262.904982009,395.580042924,0,0,78.953446337,247.490017477,359.753530560,31.893043489,73.991860895,0,0,66.679848609,0.206690322,78.953458254,765231.843100289,7261.266113281,0,0,0,470198.371826172,5,4,193.833328247,338.500000000,66.679852337,3.553E-15,0.000000000,0.000000000,NaN,78.953446337
5,series04_masked.tif:z:5/23 t:5/95 - Mark_and_Find 001/mT8 Control005,109.040219107,7514.486470237,1579.044579510,6176.646403790,3864.664794922,11501.662109375,265.350121831,394.516947963,0,0,84.625279356,242.387130519,359.753530560,47.201704364,71.440417416,0,0,56.789049776,0.191335849,84.625286464,819381.251191820,7354.270996094,0,0,0,503470.593505859,5,5,189.833328247,337.000000000,56.789042425,0.000000000,0.000000000,0.000000000,NaN,84.625279356
6,series04_masked.tif:z:5/23 t:6/95 - Mark_and_Find 001/mT8 Control005,112.295151021,7816.372562132,1607.580568364,7946.242363453,3385.085693359,12763.849609375,265.137495053,392.922295789,0,0,87.124520384,244.938573998,354.650643602,42.098817406,77.819026114,0,0,62.059113819,0.185904570,87.124497455,877740.737298883,7952.167480469,0,0,0,539329.706787109,5,6,191.833328247,338.166656494,62.059105822,0.000000000,0.000000000,0.000000000,NaN,87.124520384
7,series04_masked.tif:z:4/23 t:7/95 - Mark_and_Find 001/mT8 Control005,117.177548891,7894.185336643,1027.660123429,7661.712447166,5487.407714844,10391.566406250,265.031191397,395.261112489,0,0,90.697196601,239.835687040,357.202087081,51.028869583,77.819026114,0,0,56.570704702,0.179005571,90.697200283,925021.288240604,7805.646484375,0,0,0,568381.344238281,4,7,188.166671753,339.500000000,56.570716061,0.000000000,0.000000000,0.000000000,NaN,90.697196601
8,series04_masked.tif:z:4/23 t:8/95 - Mark_and_Find 001/mT8 Control005,122.059946762,8095.190820313,1616.954221718,7551.702795029,4473.427734375,13479.581054688,264.712260962,395.048505177,0,0,94.943947176,238.559965300,355.926365341,53.580313062,80.370469593,0,0,55.954062643,0.170156473,94.943929157,988098.560552821,8118.235839844,0,0,0,607139.311523438,4,8,186.666671753,340.500000000,55.954064748,0.000000000,0.000000000,0.000000000,NaN,94.943947176
9,series04_masked.tif:z:4/23 t:9/95 - Mark_and_Find 001/mT8 Control005,128.569810589,8182.182060918,1233.568956058,8388.707503319,5076.961425781,10636.351562500,265.031191397,395.154808833,0,0,99.726395941,237.284243561,354.650643602,57.407478281,82.921913072,0,0,55.598430688,0.162453331,99.726388609,1051981.597776483,8384.805664062,0,0,0,646392.382812500,4,9,185.666671753,342.000000000,55.598436839,0.000000000,0.000000000,0.000000000,NaN,99.726395941
10,series04_masked.tif:z:4/23 t:10/95 - Mark_and_Find 001/mT8 Control005,135.079674416,8292.145207784,1246.957611025,8452.886067390,4985.952636719,12057.944335938,264.605957305,395.686366047,0,0,104.741554420,234.732800082,352.099200122,61.234643500,88.024800031,0,0,55.503457311,0.154725480,104.741543725,1120100.274879658,8439.109375000,0,0,0,688248.052246094,4,10,184.166671753,344.000000000,55.503453291,7.105E-15,0.000000000,0.000000000,NaN,104.741554420
11,series04_masked.tif:z:4/23 t:11/95 - Mark_and_Find 001/mT8 Control005,139.962072287,8114.053410020,1033.295186906,8213.302918434,4935.671386719,10331.643554688,265.243818175,396.111600138,0,0,107.919197799,234.732800082,352.099200122,62.510365239,90.576243510,0,0,55.840305454,0.151015947,107.919197799,1135659.729911389,8186.544921875,0,0,0,697808.593261719,4,11,184.166671753,345.500000000,55.840305454,0.000000000,0.000000000,0.000000000,NaN,107.919197799
12,series04_masked.tif:z:4/23 t:12/95 - Mark_and_Find 001/mT8 Control005,143.217004200,8039.232394132,986.827281172,8579.850799561,4790.137695312,9727.372070312,266.094296091,395.792669703,0,0,110.806386333,236.008521821,349.547756643,62.510365239,94.403408728,0,0,56.584364657,0.146580050,110.806382759,1151354.779557937,8288.380859375,0,0,0,707452.450683594,4,12,184.666671753,346.500000000,56.584367458,0.000000000,0.000000000,0.000000000,NaN,110.806386333
13,series04_masked.tif:z:4/23 t:13/95 - Mark_and_Find 001/mT8 Control005,146.471936114,8024.726475694,968.372452905,7445.784942627,4768.924804688,10186.127929688,266.094296091,395.792669703,0,0,113.175126040,236.008521821,348.272034904,62.510365239,96.954852208,0,0,57.116021051,0.143701835,113.175129562,1175397.223680176,8055.600585938,0,0,0,722225.382812500,4,13,184.500000000,347.500000000,57.116018292,7.105E-15,0.000000000,0.000000000,NaN,113.175126040
14,series04_masked.tif:z:4/23 t:14/95 - Mark_and_Find 001/mT8 Control005,151.354333984,8207.902044481,1021.144882460,8618.798148155,4509.246582031,10716.002929688,266.200599747,396.855784130,0,0,117.200076292,234.732800082,346.996313164,63.786086979,100.782017426,0,0,57.520835568,0.138467846,117.200072808,1242301.547352072,8406.847656250,0,0,0,763334.890136719,4,14,184.000000000,349.833343506,57.520838244,0.000000000,0.000000000,0.000000000,NaN,117.200076292
