 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series04_masked.tif:z:10/23 t:1/95 - Mark_and_Find 001/mT8 Control005,92.76555954,7906.410936,1105.842546,8579.914576,6442.722656,12232.36426,526.8730784,410.3040045,0,0,71.99991428,491.1528697,404.4037914,72.71613916,14.03293914,0,0,10.46374878,0.224870597,71.99991428,733442.6344,7551.823242,0,0,0,450665.4233,10,1,385.25,326.75,10.46374878,0,0,0,NaN,71.99991428
2,series04_masked.tif:z:10/23 t:2/95 - Mark_and_Find 001/mT8 Control005,94.3930255,7451.059166,935.4881946,6765.925745,5802.698242,10017.84766,527.3514741,411.8986567,0,0,72.09379978,492.4285915,405.6795132,71.44041742,14.03293914,0,0,9.420652558,0.228220125,72.09379978,703328.0178,7320.292969,0,0,0,432161.4316,10,2,385.5,327.5,9.420652558,1.78E-15,0,0,NaN,72.09379978
3,series04_masked.tif:z:10/23 t:3/95 - Mark_and_Find 001/mT8 Control005,92.76555954,7208.39448,1112.10195,7149.868345,5028.518555,9690.025391,526.7136132,413.6527741,0,0,71.19010259,492.4285915,404.4037914,70.16469568,20.41154783,0,0,15.59281094,0.230015655,71.19010259,668690.7473,7136.808105,0,0,0,410878.4854,10,3,386,331.75,15.59281094,0,0,0,NaN,71.19010259
4,series04_masked.tif:z:10/23 t:4/95 - Mark_and_Find 001/mT8 Control005,89.51062763,7472.060005,1096.910162,7007.249867,5101.26123,9516.945313,526.3946828,413.1743784,0,0,69.0909624,493.7043132,404.4037914,67.6132522,19.13582609,0,0,15.2551187,0.235636185,69.0909624,668828.7807,7553.930664,0,0,0,410963.3003,10,4,386.5,331,15.2551187,0,0,0,NaN,69.0909624
5,series04_masked.tif:z:10/23 t:5/95 - Mark_and_Find 001/mT8 Control005,87.88316167,7182.249512,1085.534639,6784.554962,5188.838867,9857.448242,526.554148,413.8122393,0,0,67.8752604,494.980035,403.1280697,65.06180872,22.96299131,0,0,18.349814,0.239713514,67.8752604,631198.795,6991.197266,0,0,0,387841.4736,10,5,387.5,332.75,18.349814,3.55E-15,0,0,NaN,67.8752604
6,series04_masked.tif:z:10/23 t:6/95 - Mark_and_Find 001/mT8 Control005,84.62822976,6958.99077,976.5137418,5587.578386,5578.366211,10295,526.554148,414.6095654,0,0,65.5632859,496.2557567,404.4037914,62.51036524,22.96299131,0,0,19.31635282,0.24740228,65.5632859,588927.0697,6838.529297,0,0,0,361867.52,10,6,388.5,333.5,19.31635282,0,0,0,NaN,65.5632859
7,series04_masked.tif:z:10/23 t:7/95 - Mark_and_Find 001/mT8 Control005,87.88316167,7675.377884,1802.906218,5217.70972,5200.742676,13887.86914,527.0325437,413.8122393,0,0,67.22853855,496.2557567,401.852348,63.78608698,25.51443479,0,0,20.84236267,0.244347666,67.22853855,674536.4755,7372.70459,0,0,0,414470.4058,10,7,388.5,333.75,20.84236267,0,0,0,NaN,67.22853855
8,series04_masked.tif:z:10/23 t:8/95 - Mark_and_Find 001/mT8 Control005,94.3930255,7447.194967,1503.143672,8471.014518,4308.880371,11074,527.989335,412.6959828,0,0,72.11284432,493.7043132,401.852348,70.16469568,22.96299131,0,0,18.03428557,0.228099598,72.11284432,702963.2644,7754.029297,0,0,0,431937.3081,10,8,387,332.25,18.03428557,0,0,0,NaN,72.11284432
9,series04_masked.tif:z:10/23 t:9/95 - Mark_and_Find 001/mT8 Control005,104.1578212,7741.381702,1319.292351,8156.724032,3959.311279,10654.25,528.1488002,413.0149132,0,0,79.91355589,489.877148,401.852348,77.81902611,24.23871305,0,0,16.69924423,0.204956096,79.91355589,806325.4515,7990.541504,0,0,0,495448.429,10,9,384,332.75,16.69924423,0,0,0,NaN,79.91355589
10,series04_masked.tif:z:10/23 t:10/95 - Mark_and_Find 001/mT8 Control005,109.0402191,7917.868346,1282.001527,8906.160604,3655.168945,10102.42969,527.8298697,412.3770523,0,0,84.31835525,488.6014263,399.3009045,80.37046959,28.06587827,0,0,18.98321706,0.192731334,84.31835525,863366.0993,8290.075195,0,0,0,530497.1792,10,10,382.5,334,18.98321706,0,0,0,NaN,84.31835525
