 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,series04_masked.tif:z:13/23 t:1/95 - Mark_and_Find 001/mT8 Control005,99.275423366,8277.553134606,1509.155246961,6414.520133972,5529.138671875,11913.861328125,163.292377799,573.224295160,0,0,76.005136856,144.156556572,540.906017579,39.547373927,66.337530458,0,0,-60.135835504,0.215956222,76.005123987,821757.591873766,8109.744140625,0,0,0,504930.741210937,13,1,113.166664124,423.500000000,119.864167247,0.000000000,0.000000000,0.000000000,NaN,76.005136856
2,series04_masked.tif:z:13/23 t:2/95 - Mark_and_Find 001/mT8 Control005,94.393025496,7872.575565733,1708.496253624,7043.466422081,5769.265136719,15224.208007812,162.229282838,571.948573420,0,0,72.736030731,144.156556572,540.906017579,36.995930448,63.786086979,0,0,-60.587505283,0.224207727,72.736024206,743116.226092908,7644.542968750,0,0,0,456609.382812500,13,2,113.166664124,423.500000000,119.412506416,0.000000000,0.000000000,0.000000000,NaN,72.736030731
3,series04_masked.tif:z:13/23 t:3/95 - Mark_and_Find 001/mT8 Control005,91.138093582,7536.088021415,1689.960875188,4844.249868393,4831.041015625,11593.973632812,161.166178144,571.310712551,0,0,70.591217090,144.156556572,540.906017579,35.720208708,62.510365239,0,0,-61.582361941,0.229830925,70.591207220,686824.695338172,7322.309570312,0,0,0,422020.929199219,13,3,113.166664124,423.500000000,118.417645388,0.000000000,0.000000000,0.000000000,NaN,70.591217090
4,series04_masked.tif:z:13/23 t:4/95 - Mark_and_Find 001/mT8 Control005,89.510627625,7580.100799006,1656.137372124,5328.645339012,4493.100097656,13595.209960938,160.953556232,570.035010277,0,0,69.239822716,145.432278311,539.630295840,33.168765229,62.510365239,0,0,-62.175903616,0.234624074,69.239819687,678499.579981409,7585.981445312,0,0,0,416905.543945312,13,4,113.500000000,422.833343506,117.824091636,3.553E-15,0.000000000,0.000000000,NaN,69.239822716
5,series04_masked.tif:z:13/23 t:5/95 - Mark_and_Find 001/mT8 Control005,94.393025496,7970.209274818,2119.853079948,4025.131355286,4005.706054688,13951.459960938,162.229282838,568.334034980,0,0,72.665142139,149.259443530,534.527408882,26.790156531,68.888973937,0,0,-69.443954780,0.224645392,72.665121255,752332.167283845,7493.688476562,0,0,0,462272.137939453,13,5,117.166664124,418.833343506,110.556059591,3.553E-15,0.000000000,0.000000000,NaN,72.665142139
6,series04_masked.tif:z:13/23 t:6/95 - Mark_and_Find 001/mT8 Control005,94.393025496,7649.817357557,1728.903917180,6141.991508484,4338.619140625,12809.505859375,162.654516929,566.633059684,0,0,72.365902122,147.983721791,533.251687142,30.617321750,67.613252197,0,0,-66.447736327,0.226507095,72.365900826,722089.404869161,7291.496093750,0,0,0,443689.406738281,13,6,116.166664124,418.166656494,113.552261318,0.000000000,0.000000000,0.000000000,NaN,72.365902122
7,series04_masked.tif:z:13/23 t:7/95 - Mark_and_Find 001/mT8 Control005,100.902889323,7681.697667276,1845.480846847,8460.202171326,4164.474609375,11282.314453125,163.292382665,567.270940019,0,0,77.400794677,146.708000051,533.251687142,35.720208708,70.164695677,0,0,-63.575724411,0.211652122,77.400806298,775105.489533654,8094.900390625,0,0,0,476265.255371094,13,7,114.500000000,417.500000000,116.424271314,0.000000000,0.000000000,0.000000000,NaN,77.400794677
8,series04_masked.tif:z:13/23 t:8/95 - Mark_and_Find 001/mT8 Control005,109.040219107,7810.399971578,2224.644374864,3874.933605194,3855.831054688,13636.336914062,165.205960408,566.420452371,0,0,83.681684693,146.708000051,529.424521923,38.271652187,76.543304374,0,0,-64.086009203,0.195675183,83.681683275,851647.724214781,8014.278320312,0,0,0,523296.798095703,13,8,115.166664124,414.500000000,115.913988799,0.000000000,0.000000000,0.000000000,NaN,83.681684693
9,series04_masked.tif:z:13/23 t:9/95 - Mark_and_Find 001/mT8 Control005,109.040219107,7284.204054192,1689.286564652,8795.950317383,3744.436523438,10497.374023438,165.205960408,566.420452371,0,0,83.681684693,146.708000051,529.424521923,38.271652187,76.543304374,0,0,-64.086009203,0.195675183,83.681683275,794271.206089789,7266.164062500,0,0,0,488041.671630859,13,9,115.166664124,414.500000000,115.913988799,0.000000000,0.000000000,0.000000000,NaN,83.681684693
10,series04_masked.tif:z:13/23 t:10/95 - Mark_and_Find 001/mT8 Control005,117.177548891,7431.468885634,1544.692121245,5292.737320900,4180.872558594,10878.222656250,167.757403888,566.420452371,0,0,91.038238119,153.086608749,523.045913225,30.617321750,88.024800031,0,0,-71.480419363,0.177666925,91.038261700,870801.308679724,7517.656250000,0,0,0,535065.759765625,13,10,120.166664124,410.166656494,108.519573512,0.000000000,0.000000000,0.000000000,NaN,91.038238119
11,series04_masked.tif:z:13/23 t:11/95 - Mark_and_Find 001/mT8 Control005,123.687412718,7552.833781995,1567.776789984,8022.664178371,3962.300048828,10778.386718750,168.607886669,565.569964723,0,0,96.150459086,154.362330488,520.494469746,30.617321750,91.851965249,0,0,-71.965714433,0.168125134,96.150444738,934190.469187742,7731.842773438,0,0,0,574015.367431641,13,11,120.500000000,407.500000000,108.034284285,0.000000000,0.000000000,0.000000000,NaN,96.150459086
12,series04_masked.tif:z:13/23 t:12/95 - Mark_and_Find 001/mT8 Control005,125.314878675,7728.202402090,1707.356720172,8918.248149872,3916.292968750,12204.322265625,168.182647712,566.633059684,0,0,96.820472584,153.086608749,520.494469746,31.893043489,93.127686989,0,0,-71.565051177,0.167987941,96.820469506,968458.746396115,7988.400390625,0,0,0,595071.584960938,13,12,119.833335876,408.166656494,108.434943359,0.000000000,0.000000000,0.000000000,NaN,96.820472584
13,series04_masked.tif:z:13/23 t:13/95 - Mark_and_Find 001/mT8 Control005,126.942344632,7846.465763972,1553.988505061,8535.374423981,4030.572265625,10601.679687500,169.670991363,566.845686462,0,0,97.722098706,156.913773968,520.494469746,28.065878271,94.403408728,0,0,-74.088851423,0.167043972,97.722086226,996048.761154359,8261.888671875,0,0,0,612024.329589844,13,13,122.500000000,407.500000000,105.911150663,0.000000000,0.000000000,0.000000000,NaN,97.722098706
14,series04_masked.tif:z:13/23 t:14/95 - Mark_and_Find 001/mT8 Control005,128.569810589,7768.081240111,1276.985064774,5515.236659050,4558.054199219,10323.670898438,169.033130494,567.270940019,0,0,100.050894255,158.189495707,519.218748007,24.238713052,98.230573947,0,0,-76.731592144,0.161401259,100.050906886,998740.733680604,7950.698730469,0,0,0,613678.417968750,13,14,123.500000000,406.500000000,103.268406151,0.000000000,0.000000000,0.000000000,NaN,100.050894255
15,series04_masked.tif:z:13/23 t:15/95 - Mark_and_Find 001/mT8 Control005,133.452208459,7842.168617807,1383.223784107,7669.747207642,4368.300781250,11440.855468750,170.308852233,568.334034980,0,0,103.388569989,156.913773968,519.218748007,29.341600010,100.782017426,0,0,-74.248826337,0.156888305,103.388569989,1046554.721157432,7991.693847656,0,0,0,643057.826660156,13,15,122.500000000,406.500000000,105.751173663,3.553E-15,0.000000000,0.000000000,NaN,103.388569989
16,series04_masked.tif:z:12/23 t:16/95 - Mark_and_Find 001/mT8 Control005,128.569810589,7942.034705053,1323.743111092,8301.792222023,4991.666503906,11690.418945312,169.458369451,570.460244368,0,0,99.796634901,154.362330488,523.045913225,31.893043489,96.954852208,0,0,-72.645975364,0.162224735,99.796623482,1021105.897719571,8288.416015625,0,0,0,627420.741699219,12,16,121.166664124,409.833343506,107.354028636,3.553E-15,0.000000000,0.000000000,NaN,99.796634901
