 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:6/9 t:1/95 - Mark_and_Find 001/mN10 control 2010,68.35357019,7617.478446,942.6625307,7640.359916,5642.010254,9887.466797,300.9365312,327.3967882,0,0,52.86088825,281.9345044,310.0003827,39.54737393,36.99593045,0,0,-42.22083314,0.30739879,52.86089726,520681.8476,7654.78125,0,0,0,319934.0947,6,1,220.5521698,242.7142029,137.7791423,0,0,0,NaN,52.86088825
2,1 sec:z:6/9 t:2/95 - Mark_and_Find 001/mN10 control 2010,63.47117232,7478.129094,1303.339546,6473.28124,5238.427734,10296.3877,291.1498596,326.6718366,0,0,48.61954071,283.2102262,303.621774,17.86010435,47.20170436,0,0,-69.94390526,0.337415229,48.61951989,474645.6203,7329.381836,0,0,0,291647.0347,6,2,221.6886749,238.1681519,110.0561177,0,0,0,NaN,48.61954071
3,1 sec:z:6/9 t:3/95 - Mark_and_Find 001/mN10 control 2010,61.84370636,7209.650057,959.3887821,7364.071758,5569.5,9965.771484,288.7230178,328.1854325,0,0,47.60733573,276.8316175,307.4489392,25.51443479,43.37453915,0,0,-60.53326984,0.34289221,47.60733733,445871.481,7115.616699,0,0,0,273966.7021,6,3,217.1426239,241.0094299,119.466721,3.55E-15,0,0,NaN,47.60733573
4,1 sec:z:6/9 t:4/95 - Mark_and_Find 001/mN10 control 2010,65.09863827,6931.340442,1220.451481,5723.460967,4858.473145,9620.556641,290.8645566,327.5415566,0,0,49.64262609,279.383061,306.1732175,24.23871305,44.65026089,0,0,-62.44718842,0.331949694,49.64262609,451220.8242,6655.523438,0,0,0,277253.6177,6,4,219,239.5,117.5528116,3.55E-15,0,0,NaN,49.64262609
5,1 sec:z:6/9 t:5/95 - Mark_and_Find 001/mN10 control 2010,66.72610423,7040.383408,1375.612354,5158.479999,4123.646973,10356.99414,289.2699044,325.3090436,0,0,50.50392085,278.1073392,303.621774,24.23871305,45.92598263,0,0,-62.14034931,0.328742189,50.50392085,469777.3571,7076,0,0,0,288655.7197,6,5,217.5,237.5,117.8596507,3.55E-15,0,0,NaN,50.50392085
6,1 sec:z:6/9 t:6/95 - Mark_and_Find 001/mN10 control 2010,69.98103614,6710.879871,1037.823071,6639.199116,4873.139648,9371.758789,287.9941827,322.4386697,0,0,53.252788,273.0044523,301.0703305,31.89304349,44.65026089,0,0,-55.7388971,0.310102689,53.252788,469634.3268,6584.973145,0,0,0,288567.8345,6,6,214,235.5,124.2611029,3.55E-15,0,0,NaN,53.252788
7,1 sec:z:6/9 t:7/95 - Mark_and_Find 001/mN10 control 2010,61.84370636,7241.584691,1304.620486,7402.173213,5680.726074,11367.05469,291.8213479,324.0333219,0,0,46.99870392,284.4859479,302.3460523,16.58438261,45.92598263,0,0,-71.8109543,0.351830601,46.99870392,447846.4372,7022.694824,0,0,0,275180.2183,6,7,223,236.5,108.1890457,0,0,0,NaN,46.99870392
8,1 sec:z:6/9 t:8/95 - Mark_and_Find 001/mN10 control 2010,61.84370636,7052.63253,977.2612461,7226.42655,4800.333008,9954.523438,288.950974,324.9901132,0,0,47.36090112,279.383061,303.621774,21.68726957,44.65026089,0,0,-64.47030201,0.346469859,47.36090112,436160.9352,6935.042969,0,0,0,268000.0361,6,8,218.5,238,115.529698,0,0,0,NaN,47.36090112
9,1 sec:z:6/9 t:9/95 - Mark_and_Find 001/mN10 control 2010,66.72610423,7280.195122,1292.156922,7040.832031,5146.5,10224.5,287.6752523,325.3090436,0,0,51.02886958,288.3131131,299.7946088,1.27572174,52.30459132,0,0,-90,0.322013247,51.02886958,485779.0585,7076,0,0,0,298488,6,9,225.5,235,90,0,0,0,NaN,51.02886958
10,1 sec:z:6/9 t:10/95 - Mark_and_Find 001/mN10 control 2010,66.72610423,7308.517673,1363.730192,5929.163446,4864.700195,11763.5,287.0373914,327.8604871,0,0,51.04481361,287.0373914,302.3460523,2.551443479,52.30459132,0,0,-91.43209618,0.321812114,51.04481361,487668.912,7085,0,0,0,299649.2246,6,10,224.5,277,88.56790382,0,0,0,NaN,51.04481361
11,1 sec:z:5/9 t:11/95 - Mark_and_Find 001/mN10 control 2010,63.47117232,7709.615385,1207.880505,6285.712565,5341.277832,10655.02051,286.6121573,331.9002693,0,0,48.62826375,284.4859479,307.4489392,5.102886958,49.75314784,0,0,-94.51398846,0.337294187,48.62824434,489338.3266,7667.09375,0,0,0,300675,5,11,223.1666718,279.1666565,85.48600974,0,0,0,NaN,48.62826375
12,1 sec:z:5/9 t:12/95 - Mark_and_Find 001/mN10 control 2010,63.47117232,7755.310685,1361.464402,5857.181024,5275.916504,11889.41504,286.8247744,331.9002693,0,0,48.59664528,285.7616697,307.4489392,3.827165219,49.75314784,0,0,-94.0141757,0.337733238,48.59662632,492238.6608,7679.358398,0,0,0,302457.1167,5,12,223.5,279.1666565,85.98581507,4.44E-16,0,0,NaN,48.59664528
13,1 sec:z:5/9 t:13/95 - Mark_and_Find 001/mN10 control 2010,61.84370636,7634.842825,1447.28674,7554.986733,5153.833496,12260.13672,288.950974,333.6012349,0,0,47.44434896,283.2102262,311.2761045,12.7572174,47.20170436,0,0,-104.5344551,0.345252149,47.44435221,472166.9778,7507.856445,0,0,0,290124.0273,5,13,221.8333282,279.5,75.46552975,0,0,0,NaN,47.44434896
14,1 sec:z:5/9 t:14/95 - Mark_and_Find 001/mN10 control 2010,61.84370636,7777.963829,1383.782929,5958.658747,5220.75,11414.34473,288.950974,333.6012349,0,0,47.44434896,283.2102262,311.2761045,12.7572174,47.20170436,0,0,-104.5344551,0.345252149,47.44435221,481018.1111,7448.393066,0,0,0,295562.6255,5,14,221.8333282,279.5,75.46552975,0,0,0,NaN,47.44434896
