 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:9/9 t:1/95 - Mark_and_Find 001/mN10 control 2010,58.588774446,7674.038445367,2125.875357013,4040.822712421,4023.867919922,12704.721679688,633.076913264,553.875861754,0,0,44.231664190,630.206539350,531.975965402,7.654330437,44.650260885,0,0,81.986748156,0.376320362,44.231673423,449612.507562431,7808.739257812,0,0,0,276265.384033203,9,1,493.833343506,451.333343506,81.986783791,8.882E-16,0.000000000,0.000000000,NaN,44.231664190
2,1 sec:z:9/9 t:2/95 - Mark_and_Find 001/mN10 control 2010,60.216240402,7791.798867715,2124.869314555,7865.956395149,3986.587402344,12297.202148438,629.249748045,547.284626277,0,0,45.584619941,627.655095870,524.321634965,3.827165219,47.201704364,0,0,-86.523687251,0.364155459,45.584647421,469192.833785644,7755.489257812,0,0,0,288296.558105469,9,2,492.166656494,411.166656494,93.476343334,0.000000000,0.000000000,0.000000000,NaN,45.584619941
3,1 sec:z:9/9 t:3/95 - Mark_and_Find 001/mN10 control 2010,58.588774446,7554.635660807,1738.866736164,7982.222822189,3738.461914062,11876.310546875,627.229861779,544.201625585,0,0,44.713495956,620.000765433,523.045913225,15.308660875,43.374539146,0,0,-71.134263960,0.368253619,44.713487872,442616.844749700,7556.029296875,0,0,0,271966.883789062,9,3,486.000000000,410.000000000,108.865757153,1.776E-15,0.000000000,0.000000000,NaN,44.713495956
4,1 sec:z:9/9 t:4/95 - Mark_and_Find 001/mN10 control 2010,55.333842532,7148.224997128,1567.003054572,7882.251501083,4705.140625000,11237.995117188,626.060443696,540.906017579,0,0,42.332801176,622.552208912,520.494469746,8.930052177,42.098817406,0,0,100.124671655,0.388013361,42.332822164,395538.756374034,6990.168945312,0,0,0,243039.649902344,9,4,487.833343506,407.666656494,100.124630899,0.000000000,0.000000000,0.000000000,NaN,42.332801176
5,1 sec:z:9/9 t:5/95 - Mark_and_Find 001/mN10 control 2010,52.078910618,7454.275985718,1457.649886385,6759.309548378,4079.685058594,10344.377929688,624.465791522,538.141947322,0,0,39.366346668,607.243548037,529.424521923,35.720208708,19.135826094,0,0,26.288262125,0.422300436,39.366364191,388210.572784397,7506.250976562,0,0,0,238536.831542969,9,5,475.666656494,428.666656494,26.288228460,0.000000000,0.000000000,0.000000000,NaN,39.366346668
6,1 sec:z:9/9 t:6/95 - Mark_and_Find 001/mN10 control 2010,53.706376575,7461.902920810,1234.824006516,4397.637663841,4387.366699219,9646.100585938,621.382790829,539.311365405,0,0,40.316081369,603.416382819,531.975965402,38.271652187,16.584382614,0,0,22.643108671,0.415220790,40.316079385,400751.768232069,7459.250488281,0,0,0,246242.796386719,9,6,472.500000000,428.833343506,22.643149814,1.776E-15,0.000000000,0.000000000,NaN,40.316081369
7,1 sec:z:9/9 t:7/95 - Mark_and_Find 001/mN10 control 2010,53.706376575,6975.648940578,1539.478936729,7100.734041214,3892.226562500,10044.870117188,624.784721956,546.434138629,0,0,41.176486923,613.622156735,529.424521923,22.962991312,35.720208708,0,0,-57.869174673,0.398049548,41.176511716,374636.828858572,7006.388183594,0,0,0,230196.415039062,9,7,481.166656494,414.666656494,122.130846307,0.000000000,0.000000000,0.000000000,NaN,41.176486923
8,1 sec:z:9/9 t:8/95 - Mark_and_Find 001/mN10 control 2010,52.078910618,7215.451217651,1553.180203386,7603.939459801,3797.104003906,10024.259765625,622.126974821,546.008904538,0,0,38.929840289,609.794991516,530.700243663,26.790156531,31.893043489,0,0,-49.873896422,0.431823737,38.929812080,375772.839034829,7433.094726562,0,0,0,230894.438964844,9,8,477.833343506,416.333343506,130.126113592,0.000000000,0.000000000,0.000000000,NaN,38.929840289
9,1 sec:z:9/9 t:9/95 - Mark_and_Find 001/mN10 control 2010,52.078910618,8093.586677551,1865.053387117,5236.943594456,3966.448974609,10961.000000000,618.831347350,535.803130621,0,0,39.399061805,600.864939339,528.148800184,36.995930448,16.584382614,0,0,-24.213646947,0.421599410,39.399060614,421505.177161723,8175.779785156,0,0,0,258994.773681641,9,9,471.000000000,413.666656494,155.786310889,0.000000000,0.000000000,0.000000000,NaN,39.399061805
10,1 sec:z:9/9 t:10/95 - Mark_and_Find 001/mN10 control 2010,52.078910618,7509.842315674,1503.744882291,4232.854043961,4221.480468750,10044.750976562,621.489113951,529.530825580,0,0,39.577655010,611.070713256,512.840139309,22.962991312,34.444486969,0,0,-57.505200055,0.417803081,39.577637092,391104.406715566,7556.864257812,0,0,0,240314.954101562,9,10,478.833343506,402.000000000,122.494794192,3.553E-15,0.000000000,0.000000000,NaN,39.577655010
11,1 sec:z:9/9 t:11/95 - Mark_and_Find 001/mN10 control 2010,55.333842532,6798.479621438,1059.625074450,6174.635677338,4437.944335938,9826.950195312,625.635190139,527.192008879,0,0,41.981605692,618.725043693,507.737252351,15.308660875,40.823095666,0,0,-69.545844026,0.394532336,41.981581374,376186.000829361,6847.255371094,0,0,0,231148.307128906,9,11,484.666656494,397.833343506,110.454168353,0.000000000,0.000000000,0.000000000,NaN,41.981605692
12,1 sec:z:9/9 t:12/95 - Mark_and_Find 001/mN10 control 2010,56.961308489,6837.239327567,1001.950823856,6061.967427254,5011.333496094,9688.938476562,625.954120574,527.192008879,0,0,43.379229045,620.000765433,506.461530611,14.032939135,43.374539146,0,0,-72.897271031,0.380387435,43.379229045,389458.098549124,6852.115234375,0,0,0,239303.376464844,9,12,485.666656494,397.000000000,107.102728969,1.776E-15,0.000000000,0.000000000,NaN,43.379229045
13,1 sec:z:9/9 t:13/95 - Mark_and_Find 001/mN10 control 2010,48.823978705,6824.833756510,1263.607555521,5853.355581284,4830.039062500,9232.879882812,626.379374131,531.550731311,0,0,36.573162113,608.519269777,531.975965402,36.995930448,1.275721740,0,0,-0.666199970,0.458688666,36.573188217,333215.537990736,6544.086914062,0,0,0,204745.012695312,9,13,476.666656494,416.500000000,179.333780174,0.000000000,0.000000000,0.000000000,NaN,36.573162113
14,1 sec:z:9/9 t:14/95 - Mark_and_Find 001/mN10 control 2010,48.823978705,6865.776944987,1608.235723825,6559.218254566,3863.450439453,11574.250000000,627.867703183,535.165269751,0,0,37.392166111,609.794991516,529.424521923,36.995930448,12.757217396,0,0,17.198541220,0.438815322,37.392173785,335214.547353017,6561.925781250,0,0,0,205973.308349609,9,14,478.166656494,423.833343506,17.198579212,1.776E-15,0.000000000,0.000000000,NaN,37.392166111
15,1 sec:z:9/9 t:15/95 - Mark_and_Find 001/mN10 control 2010,50.451444661,6534.265435988,1160.119328150,5453.663901329,4799.462402344,9653.827148438,629.143444389,540.374460366,0,0,38.387826410,611.070713256,533.251687142,36.995930448,16.584382614,0,0,-23.156920863,0.430225776,38.387819582,329663.131047205,6231.146972656,0,0,0,202562.228515625,9,15,479.333343506,417.666656494,156.843053711,0.000000000,0.000000000,0.000000000,NaN,38.387826410
16,1 sec:z:9/9 t:16/95 - Mark_and_Find 001/mN10 control 2010,50.451444661,6775.524303805,1177.790232403,5565.277740479,4746.960937500,9157.257812500,630.738077097,541.012321236,0,0,38.447251692,612.346434996,537.078852361,38.271652187,8.930052177,0,0,-11.807063422,0.428896862,38.447249037,341834.989465994,6828.366699219,0,0,0,210041.253417969,9,16,479.666656494,421.000000000,168.192955509,0.000000000,0.000000000,0.000000000,NaN,38.447251692
17,1 sec:z:9/9 t:17/95 - Mark_and_Find 001/mN10 control 2010,47.196512748,6748.011617726,1209.771112415,5203.275847435,5192.602050781,10657.585937500,632.545356050,541.224948014,0,0,36.325726961,614.897878475,539.630295840,36.995930448,5.102886958,0,0,5.710593137,0.449460102,36.325737292,318482.616338604,6513.773925781,0,0,0,195692.336914062,9,17,481.666656494,425.666656494,5.710550366,4.441E-16,0.000000000,0.000000000,NaN,36.325726961
18,1 sec:z:9/9 t:18/95 - Mark_and_Find 001/mN10 control 2010,50.451444661,6716.455377394,1111.700756841,5660.643550873,5273.324218750,9320.416015625,632.864305951,542.606992876,0,0,37.827892388,613.622156735,540.906017579,39.547373927,5.102886958,0,0,-5.806726906,0.443056570,37.827892388,338854.876793942,6432.939941406,0,0,0,208210.116699219,9,18,481.333343506,423.833343506,174.193273094,4.441E-16,0.000000000,0.000000000,NaN,37.827892388
19,1 sec:z:9/9 t:19/95 - Mark_and_Find 001/mN10 control 2010,48.823978705,6961.250683594,1004.512837850,6179.563723564,4394.615722656,8809.559570312,632.757982829,542.500669754,0,0,37.050267572,617.449321954,531.975965402,31.893043489,22.962991312,0,0,-35.423009941,0.446951433,37.050273679,339875.955133609,7066.603515625,0,0,0,208837.520507812,9,19,484.166656494,416.833343506,144.577046031,0.000000000,0.000000000,0.000000000,NaN,37.050267572
20,1 sec:z:9/9 t:20/95 - Mark_and_Find 001/mN10 control 2010,50.451444661,6895.242801789,1287.718915419,8488.295416832,3665.777832031,8574.583007812,632.545375516,541.224948014,0,0,38.009110597,613.622156735,537.078852361,38.271652187,10.205773917,0,0,-13.258872182,0.438841869,38.009104645,347874.960641984,7155.015625000,0,0,0,213752.526855469,9,20,481.333343506,420.833343506,166.741165899,1.776E-15,0.000000000,0.000000000,NaN,38.009110597
21,1 sec:z:9/9 t:21/95 - Mark_and_Find 001/mN10 control 2010,48.823978705,6970.305777995,1517.812398058,7143.104824066,4395.807617188,9785.141601562,634.246311881,542.819600189,0,0,37.275920754,618.725043693,531.975965402,31.893043489,22.962991312,0,0,-34.777831366,0.441556490,37.275935558,340318.060869814,7025.360351562,0,0,0,209109.173339844,9,21,485.166656494,417.166656494,145.222135866,0.000000000,0.000000000,0.000000000,NaN,37.275920754
22,1 sec:z:9/9 t:22/95 - Mark_and_Find 001/mN10 control 2010,47.196512748,7172.911099138,1547.287924185,7142.157814980,4682.978027344,10040.850585938,635.522033621,543.244834280,0,0,35.730332049,621.276487173,531.975965402,29.341600010,24.238713052,0,0,-38.233825177,0.464564126,35.730340081,338536.390129599,7378.167968750,0,0,0,208014.421875000,9,22,487.166656494,417.166656494,141.766158477,0.000000000,0.000000000,0.000000000,NaN,35.730332049
23,1 sec:z:9/9 t:23/95 - Mark_and_Find 001/mN10 control 2010,47.196512748,6893.445556641,2002.058192795,7315.106693745,3674.079345703,11345.708984375,636.797755360,545.158416889,0,0,35.783432604,623.827930652,533.251687142,26.790156531,25.514434791,0,0,-44.518534194,0.463186376,35.783423505,325346.591090543,7058.416503906,0,0,0,199909.921142578,9,23,489.166656494,417.500000000,135.481480622,3.553E-15,0.000000000,0.000000000,NaN,35.783432604
24,1 sec:z:9/9 t:24/95 - Mark_and_Find 001/mN10 control 2010,52.078910618,7535.901809692,1708.179229717,5439.860378265,5002.194335938,12230.743164062,637.435616230,545.689974103,0,0,39.889402409,625.103652391,529.424521923,25.514434791,33.168765229,0,0,52.580372938,0.411298092,39.889381795,392461.556775317,7304.168945312,0,0,0,241148.857910156,9,24,490.166656494,440.166656494,52.580350285,0.000000000,0.000000000,0.000000000,NaN,39.889402409
25,1 sec:z:9/9 t:25/95 - Mark_and_Find 001/mN10 control 2010,53.706376575,6734.982318300,2084.662658374,4729.934204102,3482.000000000,12481.187500000,636.372521269,545.158416889,0,0,40.574280402,625.103652391,528.148800184,24.238713052,35.720208708,0,0,56.976132444,0.409952996,40.574276593,361711.496613474,6501.527832031,0,0,0,222254.416503906,9,25,490.166656494,440.666656494,56.976107092,0.000000000,0.000000000,0.000000000,NaN,40.574280402
