 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:13/15 t:1/95 - Mark_and_Find 001/mN10 control 3011,40.68664892,7453.400566,881.8776365,6986.054731,5385.0625,9676.727539,246.1345631,180.1159631,0,0,30.58823876,237.2842436,168.3952696,19.13582609,25.51443479,0,0,-53.90674418,0.546453035,30.58823876,303253.8921,7385.888672,0,0,0,186335.0142,13,1,185.875,131.5,126.0932558,0,0,0,NaN,30.58823876
2,1 sec:z:13/15 t:2/95 - Mark_and_Find 001/mN10 control 3011,45.56904679,6513.475917,1131.368688,6324.952212,4406.369629,8199.088867,246.6926914,180.9930218,0,0,34.51823451,236.0085218,167.1195479,22.96299131,29.34160001,0,0,-51.75357404,0.480598774,34.51823451,296812.8888,6619.671875,0,0,0,182377.3257,13,2,185,131.25,128.246426,0,0,0,NaN,34.51823451
3,1 sec:z:13/15 t:3/95 - Mark_and_Find 001/mN10 control 3011,43.94158083,6475.387713,1174.913929,7818.291844,4393.432129,8180.75,245.6561675,182.4282088,0,0,32.63119721,234.7328001,170.9467131,22.96299131,25.51443479,0,0,-47.97116326,0.518584492,32.63119721,284538.7726,6532.905762,0,0,0,174835.4683,13,3,184,133.5,132.0288367,0,0,0,NaN,32.63119721
4,1 sec:z:13/15 t:4/95 - Mark_and_Find 001/mN10 control 3011,45.56904679,6486.506086,699.6751345,5328.801937,5323.408203,8085,245.0980392,185.2188501,0,0,34.73158293,232.1813566,173.4981566,28.06587827,24.23871305,0,0,-40.34449257,0.474712485,34.73158293,295583.8993,6408.199219,0,0,0,181622.1704,13,4,181.75,136.375,139.6555074,0,0,0,NaN,34.73158293
5,1 sec:z:13/15 t:5/95 - Mark_and_Find 001/mN10 control 3011,43.94158083,6252.25255,786.0132787,6455.733659,5014.899902,8478.3125,241.8290023,187.6108283,0,0,33.25528493,227.0784696,181.152487,31.89304349,14.03293914,0,0,-22.26058222,0.499303022,33.25528493,274733.8608,6278.01709,0,0,0,168810.8188,13,5,177.5,142.125,157.7394178,0,0,0,NaN,33.25528493
6,1 sec:z:13/15 t:6/95 - Mark_and_Find 001/mN10 control 3011,45.56904679,6350.692453,1067.986749,6576.894189,4158.465332,8472.875,239.7559544,184.8999196,0,0,34.99307871,225.8027479,174.7738783,29.34160001,21.68726957,0,0,-37.96658354,0.467644145,34.99307871,289395.0015,6437.479004,0,0,0,177819.3887,13,6,177.125,136.5,142.0334165,0,0,0,NaN,34.99307871
7,1 sec:z:13/15 t:7/95 - Mark_and_Find 001/mN10 control 3011,48.82397871,6753.876237,1152.137721,6030.17372,4970.369629,9688.801758,240.3140827,185.1391175,0,0,37.36389489,228.3541914,170.9467131,25.51443479,29.34160001,0,0,-50.19442891,0.439479628,37.36389489,329751.1096,6503.06543,0,0,0,202616.2871,13,7,179,133.875,129.8055711,0,0,0,NaN,37.36389489
8,1 sec:z:13/15 t:8/95 - Mark_and_Find 001/mN10 control 3011,48.82397871,6807.609521,819.9084782,7895.159468,4817.881836,8000.84375,239.3572914,186.8932348,0,0,36.60343357,227.0784696,173.4981566,25.51443479,28.06587827,0,0,-48.53229458,0.457930299,36.60343357,332374.5823,6860.213867,0,0,0,204228.2856,13,8,178.125,135.75,131.4677054,0,0,0,NaN,36.60343357
9,1 sec:z:13/15 t:9/95 - Mark_and_Find 001/mN10 control 3011,53.70637658,7283.649651,943.2812778,6983.586243,5843.498047,9609.466797,239.038361,188.2486892,0,0,40.48187164,224.5270262,173.4981566,30.61732175,30.61732175,0,0,-45.47878367,0.411826747,40.48187164,391178.431,7078.341797,0,0,0,240360.4385,13,9,176.25,136.25,134.5212163,0,0,0,NaN,40.48187164
10,1 sec:z:13/15 t:10/95 - Mark_and_Find 001/mN10 control 3011,53.70637658,7041.946511,1013.109088,7629.595825,4572.34375,9479.28125,239.038361,188.3284218,0,0,40.36832924,224.5270262,173.4981566,30.61732175,30.61732175,0,0,-45.32008482,0.414146663,40.36832924,378197.4311,7064.893555,0,0,0,232384.2349,13,10,176.25,136.375,134.6799152,0,0,0,NaN,40.36832924
