 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:7/15 t:1/95 - Mark_and_Find 001/mN10 control 3011,79.74583188,7026.555425,977.6994309,6441.079144,5040.462891,9283.75,303.621774,299.7946088,0,0,61.09865175,294.6917218,270.4530088,19.13582609,59.95892176,0,0,106.1644992,0.268444557,61.09865536,560338.5076,7021.4375,0,0,0,344301.2158,7,1,231.3333282,212,106.1645108,0,0,0,NaN,61.09865175
2,1 sec:z:7/15 t:2/95 - Mark_and_Find 001/mN10 control 3011,78.11836593,7058.05601,941.1617806,7924.911904,5375.646973,9391.719727,303.3028436,290.8645566,0,0,60.31412173,294.6917218,262.7986784,19.13582609,58.68320002,0,0,107.8600941,0.2698516,60.31412173,551363.8021,6812.858398,0,0,0,338786.6885,7,2,230.5,205.5,107.8600941,0,0,0,NaN,60.31412173
3,1 sec:z:7/15 t:3/95 - Mark_and_Find 001/mN10 control 3011,71.6085021,7129.408747,1177.635938,7349.209081,5410.320801,10449.46191,306.8110784,287.3563218,0,0,55.06701321,298.5188871,261.5229566,17.86010435,53.58031306,0,0,-71.77492489,0.296750467,55.06701321,510526.2812,6895.737305,0,0,0,313693.9849,7,3,233.75,204.75,108.2250751,0,0,0,NaN,55.06701321
4,1 sec:z:7/15 t:4/95 - Mark_and_Find 001/mN10 control 3011,68.35357019,6413.581438,1153.033542,4450.776092,4441.990723,8940.099609,309.5219871,286.718461,0,0,52.54614841,294.6917218,265.3501218,30.61732175,44.65026089,0,0,-55.63476094,0.311092321,52.54614841,438391.189,6419.892578,0,0,0,269370.4204,7,4,231,207.75,124.3652391,3.55E-15,0,0,NaN,52.54614841
5,1 sec:z:7/15 t:5/95 - Mark_and_Find 001/mN10 control 3011,69.98103614,6583.041413,1017.747376,5833.50719,4493.456543,9359.456055,316.5384566,281.7750392,0,0,53.60498652,313.8275479,255.1443479,7.654330437,54.8560348,0,0,-83.50922837,0.306041168,53.60498652,460688.0591,6489.824707,0,0,0,283070.7808,7,5,245.75,200,96.49077163,0,0,0,NaN,53.60498652
6,1 sec:z:7/15 t:6/95 - Mark_and_Find 001/mN10 control 3011,84.62822976,6552.498347,1186.523142,4616.56889,4606.499023,9762.270508,316.2195262,285.1238088,0,0,64.75544575,295.9674436,260.2472349,42.09881741,52.30459132,0,0,52.00126756,0.253613593,64.75544575,554526.3356,6377.383789,0,0,0,340729.9141,7,6,232.25,243.5,52.00126756,3.55E-15,0,0,NaN,64.75544575
7,1 sec:z:7/15 t:7/95 - Mark_and_Find 001/mN10 control 3011,94.3930255,7114.840947,1157.182543,6390.572397,4431.181641,9795.930664,312.2328958,290.2266958,0,0,72.33747243,290.8645566,261.5229566,44.65026089,58.68320002,0,0,52.52382044,0.226685171,72.33747243,671591.3629,7018.674805,0,0,0,412660.7749,7,7,227.5,250,52.52382044,0,0,0,NaN,72.33747243
8,1 sec:z:7/15 t:8/95 - Mark_and_Find 001/mN10 control 3011,86.25569571,6820.65859,1141.145859,5701.158394,4938.223633,9882.813477,306.0137523,295.3295827,0,0,66.35669418,284.4859479,270.4530088,44.65026089,52.30459132,0,0,50.26494676,0.246166053,66.35669418,588320.6519,6686.314453,0,0,0,361494.9053,7,8,223.25,251.5,50.26494676,7.11E-15,0,0,NaN,66.35669418
9,1 sec:z:7/15 t:9/95 - Mark_and_Find 001/mN10 control 3011,74.86343401,6586.461925,1100.418689,5953.794476,4335.283203,9125.328125,309.6814523,291.0240218,0,0,57.39773236,303.621774,262.7986784,14.03293914,57.40747828,0,0,76.50426672,0.285555243,57.39773236,493085.1577,6451.401855,0,0,0,302977.2485,7,9,237.5,250,76.50426672,0,0,0,NaN,57.39773236
10,1 sec:z:7/15 t:10/95 - Mark_and_Find 001/mN10 control 3011,69.98103614,6979.659702,1416.257224,7930.90175,4848.964355,10803.5,309.8409175,291.5024175,0,0,53.8992435,290.8645566,273.0044523,39.54737393,39.54737393,0,0,45.2397299,0.302708693,53.8992435,488443.8179,6482.910645,0,0,0,300125.3672,7,10,228,243.5,45.2397299,3.55E-15,0,0,NaN,53.8992435
