 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:13/15 t:1/95 - Mark_and_Find 001/mN10 control 3011,35.803820278,7947.642023260,1635.598081583,5917.252908707,5905.888671875,11724.377929688,370.488632938,390.474806983,0,0,26.537373881,364.854222661,378.887077379,12.757140652,25.514281305,0,0,64.872175819,0.638885963,26.537391141,284555.946634471,7441.284179688,0,0,0,174848.124511719,13,1,286.000000000,315.500000000,64.872162350,1.776E-15,0.000000000,0.000000000,NaN,26.537373881
2,1 sec:z:12/15 t:2/95 - Mark_and_Find 001/mN10 control 3011,30.921481149,8141.415167558,1893.622751528,6590.462852478,6513.518554688,12141.444335938,368.256113858,386.966612769,0,0,23.523005079,359.751366400,378.887077379,19.135710979,16.584282848,0,0,40.601294645,0.702238358,23.523005079,251744.615631110,7403.888671875,0,0,0,154686.888183594,12,2,281.666656494,309.333343506,40.601294645,0.000000000,0.000000000,0.000000000,NaN,23.523005079
3,1 sec:z:11/15 t:3/95 - Mark_and_Find 001/mN10 control 3011,42.313605783,8470.857647236,1438.256738757,8434.726956367,5695.222167969,12406.353515625,367.086722275,378.674451879,0,0,31.425204892,364.854222661,363.578508596,6.378570326,31.892851631,0,0,-98.952473334,0.538435472,31.425213672,358432.531129545,8512.890625000,0,0,0,220242.298828125,11,3,285.833343506,309.000000000,81.047577093,0.000000000,0.000000000,0.000000000,NaN,31.425204892
4,1 sec:z:11/15 t:4/95 - Mark_and_Find 001/mN10 control 3011,43.941052159,8120.428132234,1810.848756053,6080.959359169,5421.402832031,12925.690429688,368.681364857,375.910398249,0,0,33.496773916,361.027080465,361.027080465,16.584282848,30.617137566,0,0,-118.842660135,0.492123781,33.496786436,356820.156114588,7885.300292969,0,0,0,219251.559570312,11,4,282.666656494,306.166656494,61.157300977,1.776E-15,0.000000000,0.000000000,NaN,33.496773916
5,1 sec:z:11/15 t:5/95 - Mark_and_Find 001/mN10 control 3011,47.195944912,7828.337570717,966.714655934,8664.749545097,6229.152832031,10042.686523438,369.638150406,378.461845846,0,0,36.288154439,361.027080465,362.302794530,19.135710979,33.168565696,0,0,60.130200777,0.450385901,36.288156112,369465.788739099,7859.223144531,0,0,0,227021.789550781,11,5,282.666656494,309.000000000,60.130155036,0.000000000,0.000000000,0.000000000,NaN,36.288154439
6,1 sec:z:10/15 t:6/95 - Mark_and_Find 001/mN10 control 3011,42.313605783,7730.547400841,1376.361558792,7092.094657898,4703.750000000,11459.730468750,366.767793759,379.312328378,0,0,31.904189297,366.129936726,363.578508596,2.551428130,33.168565696,0,0,-88.472474558,0.522389541,31.904189988,327107.335206460,7688.905273438,0,0,0,200994.232421875,10,6,287.166656494,284.833343506,91.527572037,1.110E-16,0.000000000,0.000000000,NaN,31.904189297
7,1 sec:z:10/15 t:7/95 - Mark_and_Find 001/mN10 control 3011,42.313605783,8158.064640925,1925.289154762,8312.213732719,5065.365722656,13678.765625000,365.704705193,383.245754124,0,0,31.439587137,363.578508596,367.405650791,5.102856261,33.168565696,0,0,83.788177971,0.537942963,31.439585733,345197.131168842,8304.925781250,0,0,0,212109.680664062,10,7,285.333343506,312.666656494,83.788201482,4.441E-16,0.000000000,0.000000000,NaN,31.439587137
8,1 sec:z:10/15 t:8/95 - Mark_and_Find 001/mN10 control 3011,39.058713031,7418.857859294,1804.776537190,4047.066596508,4032.833251953,11320.305664062,364.428991128,383.458379624,0,0,29.648728091,362.302794530,368.681364857,6.378570326,30.617137566,0,0,100.745857230,0.558361749,29.648743260,289771.040140345,7040.885742188,0,0,0,178052.588623047,10,8,283.500000000,289.166656494,100.745877192,8.882E-16,0.000000000,0.000000000,NaN,29.648728091
9,1 sec:z:10/15 t:9/95 - Mark_and_Find 001/mN10 control 3011,37.431266654,7772.788722826,1945.341136901,6656.198826790,5048.784667969,12331.935546875,363.472205579,384.734093689,0,0,28.317468020,362.302794530,371.232792987,3.827142196,29.341423501,0,0,86.987212496,0.586591209,28.317454379,290945.327331215,7511.592285156,0,0,0,178774.140625000,10,9,284.333343506,312.666656494,86.987237337,0.000000000,0.000000000,0.000000000,NaN,28.317468020
10,1 sec:z:10/15 t:10/95 - Mark_and_Find 001/mN10 control 3011,37.431266654,7957.612601902,1695.761400734,6379.025390625,4988.375000000,11289.375000000,361.771240515,386.860290286,0,0,28.259938116,355.924224204,373.784221118,12.757140652,26.789995370,0,0,114.443954780,0.588981935,28.259956374,297863.519232984,8112.166503906,0,0,0,183025.089843750,10,10,279.000000000,293.166656494,114.443909053,0.000000000,0.000000000,0.000000000,NaN,28.259938116
