 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,Frame,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,Recording first line measurement in ... 1 seconds:z:9/14 t:1/95 - Mark_and_Find 001/mT8 25 vv% 4030,30.921481149,5442.473966900,1271.991736935,3661.187238216,3653.333251953,7674.574218750,330.941487182,313.187803018,0,0,23.315494773,326.582800703,302.344233464,10.205712522,22.962853174,0,0,65.772254682,0.714793971,23.315474951,168289.356172278,4966.000000000,0,0,0,103407.005371094,9,1,255.666671753,253.833328247,65.772285218,0.000000000,0.000000000,0.000000000,NaN,23.315494773
2,1 sec:z:9/14 t:2/95 - Mark_and_Find 001/mT8 25 vv% 4030,21.156802892,5941.685847356,818.896624747,5246.524405479,4833.500000000,7444.222167969,327.858514769,318.503275046,0,0,14.883330761,327.858514769,311.274231921,1.275714065,16.584282848,0,0,-90.000000000,1.000000000,14.883337250,125707.076315899,5879.777832031,0,0,0,77241.916015625,9,2,257.000000000,243.833328247,90.000000000,0.000000000,0.000000000,0.000000000,NaN,14.883330761
3,1 sec:z:9/14 t:3/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,4992.140657552,861.787682133,4326.271869659,4172.340332031,7091.338378906,325.413399388,318.396962296,0,0,18.430524252,324.031372573,309.998517855,5.102856261,19.135710979,0,0,-78.690067526,0.903092911,18.430510254,121866.618344564,4895.928710938,0,0,0,74882.109863281,9,3,253.666671753,242.500000000,101.309920606,0.000000000,0.000000000,0.000000000,NaN,18.430524252
4,1 sec:z:9/14 t:4/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,4654.126171875,483.056454503,4178.799874306,4175.428710938,5901.464355469,323.393515540,318.078043513,0,0,17.986110589,315.101374116,317.652802247,19.135710979,2.551428130,0,0,6.788974574,0.948272796,17.986111356,113615.111596927,4430.000000000,0,0,0,69811.892578125,9,4,246.500000000,250.166671753,6.788995099,0.000000000,0.000000000,0.000000000,NaN,17.986110589
5,1 sec:z:9/14 t:4/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,4654.126171875,483.056454503,4178.799874306,4175.428710938,5901.464355469,323.393515540,318.078043513,0,0,17.986110589,315.101374116,317.652802247,19.135710979,2.551428130,0,0,6.788974574,0.948272796,17.986111356,113615.111596927,4430.000000000,0,0,0,69811.892578125,9,4,246.500000000,250.166671753,6.788995099,0.000000000,0.000000000,0.000000000,NaN,17.986110589
6,1 sec:z:9/14 t:5/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,4525.631722005,729.181652038,3933.738385677,3928.571533203,6574.000000000,323.393515540,318.078043513,0,0,17.986110589,315.101374116,317.652802247,19.135710979,2.551428130,0,0,6.788974574,0.948272796,17.986111356,110478.344194753,4211.750000000,0,0,0,67884.475830078,9,5,246.500000000,250.166671753,6.788995099,0.000000000,0.000000000,0.000000000,NaN,17.986110589
7,1 sec:z:9/14 t:6/95 - Mark_and_Find 001/mT8 25 vv% 4030,27.666588397,4875.179428998,897.229091196,3772.651041985,3766.750000000,6788.083496094,326.582800703,314.782445600,0,0,20.924346634,320.204230377,307.447089725,15.308568783,16.584282848,0,0,-132.117036547,0.794075252,20.924337008,134879.582621742,4635.906250000,0,0,0,82878.050292969,9,6,250.500000000,252.833328247,47.882939621,1.776E-15,0.000000000,0.000000000,NaN,20.924346634
8,1 sec:z:9/14 t:7/95 - Mark_and_Find 001/mT8 25 vv% 4030,26.039142020,4775.603759766,864.905534666,3613.888020039,3608.820068359,6203.611328125,325.626024887,313.506731535,0,0,19.683054927,316.377088182,311.274231921,20.411425044,5.102856261,0,0,10.581635521,0.844600872,19.683063688,124352.624533429,4612.052734375,0,0,0,76409.660156250,9,7,247.666671753,247.166671753,10.581669186,0.000000000,0.000000000,0.000000000,NaN,19.683054927
9,1 sec:z:8/14 t:8/95 - Mark_and_Find 001/mT8 25 vv% 4030,22.784249268,5449.801618304,987.538345151,4183.070774078,4176.770019531,7402.756347656,328.071130535,313.719347301,0,0,17.122102147,324.031372573,306.171375660,8.929998457,16.584282848,0,0,-114.973910906,0.976630808,17.122110769,124169.638531497,5209.515625000,0,0,0,76297.222656250,8,8,254.333328247,252.000000000,65.026078579,0.000000000,0.000000000,0.000000000,NaN,17.122102147
10,1 sec:z:8/14 t:9/95 - Mark_and_Find 001/mT8 25 vv% 4030,26.039142020,5781.807662964,890.886456223,3745.877114773,3738.888916016,7316.846679688,330.303639882,313.400418785,0,0,19.070633399,322.755658508,308.722803790,16.584282848,11.481426587,0,0,-149.145795494,0.899717772,19.070647868,150553.310870233,6000.367675781,0,0,0,92508.922607422,8,9,252.500000000,249.500000000,30.854201246,0.000000000,0.000000000,0.000000000,NaN,19.070633399
11,1 sec:z:8/14 t:10/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,5508.075390625,564.460168858,4442.050781250,4437.750000000,6639.750000000,330.409942899,312.337330219,0,0,18.462383436,326.582800703,304.895661594,10.205712522,16.584282848,0,0,-118.926425835,0.899978797,18.462389115,134461.460020546,5568.428710938,0,0,0,82621.130859375,8,10,255.500000000,251.166671753,61.073583905,0.000000000,0.000000000,0.000000000,NaN,18.462383436
12,1 sec:z:8/14 t:11/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,5749.588460286,955.597695043,6461.211242199,3824.388916016,7670.693847656,333.386602563,312.975177519,0,0,17.865058554,327.858514769,306.171375660,12.757140652,15.308568783,0,0,-128.233825177,0.961167157,17.865050522,140357.203571188,5708.183593750,0,0,0,86243.826904297,8,11,257.000000000,250.833328247,51.766207515,0.000000000,0.000000000,0.000000000,NaN,17.865058554
13,1 sec:z:8/14 t:12/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,7137.084928385,1888.901286832,6512.714917183,4438.666503906,11117.363281250,335.725405194,315.420302633,0,0,18.276579788,331.685656964,307.447089725,10.205712522,17.859996913,0,0,-60.751173663,0.918370569,18.276579788,174228.345057646,6515.880859375,0,0,0,107056.273925781,8,12,259.666656494,241.000000000,119.248826337,0.000000000,0.000000000,0.000000000,NaN,18.276579788
14,1 sec:z:8/14 t:13/95 - Mark_and_Find 001/mT8 25 vv% 4030,27.666588397,6134.435259651,959.529965304,7208.334167480,3867.500000000,7453.468750000,335.725405194,316.696026431,0,0,20.663461461,335.512799160,306.171375660,2.551428130,21.687139109,0,0,-93.539559169,0.814252919,20.663467937,169718.895374446,6236.591308594,0,0,0,104285.399414062,8,13,262.666656494,256.333343506,86.460441942,0.000000000,0.000000000,0.000000000,NaN,20.663461461
15,1 sec:z:8/14 t:14/95 - Mark_and_Find 001/mT8 25 vv% 4030,27.666588397,7360.607393153,2774.677745086,4136.425266266,4117.000000000,14062.736328125,336.575887726,318.503275046,0,0,20.552682266,332.961371030,308.722803790,8.929998457,20.411425044,0,0,-65.556045220,0.823054240,20.552682803,203642.895095442,6274.222167969,0,0,0,125130.325683594,8,14,260.500000000,242.333328247,114.443914361,0.000000000,0.000000000,0.000000000,NaN,20.552682266
16,1 sec:z:8/14 t:15/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,7339.957161458,2417.916479178,3924.436027527,3909.000000000,11812.246093750,337.001138725,317.227570714,0,0,17.865058554,336.788513225,308.722803790,1.275714065,19.135710979,0,0,-88.636072468,0.961167157,17.865058863,179180.800266055,6804.643066406,0,0,0,110099.357421875,8,15,264.000000000,241.666671753,91.363969140,0.000000000,0.000000000,0.000000000,NaN,17.865058554
17,1 sec:z:8/14 t:16/95 - Mark_and_Find 001/mT8 25 vv% 4030,26.039142020,6816.230407715,1753.314768544,5126.584186554,3358.500000000,9434.064453125,336.256959210,316.802319715,0,0,19.362343750,331.685656964,308.722803790,11.481426587,17.859996913,0,0,-121.071658061,0.872811947,19.362350448,177488.791629878,6813.644531250,0,0,0,109059.686523438,8,16,259.666656494,254.833328247,58.928309048,0.000000000,0.000000000,0.000000000,NaN,19.362343750
18,1 sec:z:8/14 t:17/95 - Mark_and_Find 001/mT8 25 vv% 4030,26.039142020,6629.206298828,1562.159106364,5361.209745407,4710.444335938,9274.716796875,335.406496143,319.353757578,0,0,19.557482079,332.961371030,309.998517855,6.378570326,20.411425044,0,0,-101.920738540,0.855481559,19.557498444,172618.844297349,6418.359375000,0,0,0,106067.300781250,8,17,261.333343506,257.833343506,78.079310438,0.000000000,0.000000000,0.000000000,NaN,19.557482079
19,1 sec:z:8/14 t:18/95 - Mark_and_Find 001/mT8 25 vv% 4030,26.039142020,6228.921463013,1192.941534666,3406.570725918,3397.333251953,8126.919921875,335.619102177,317.652802247,0,0,19.686499734,331.685656964,308.722803790,10.205712522,19.135710979,0,0,-117.672078223,0.844305316,19.686482214,162195.770608960,6340.695800781,0,0,0,99662.743408203,8,18,259.500000000,255.833328247,62.327937686,0.000000000,0.000000000,0.000000000,NaN,19.686499734
20,1 sec:z:8/14 t:19/95 - Mark_and_Find 001/mT8 25 vv% 4030,24.411695644,5380.604785156,580.101410421,6342.708565712,4210.666503906,6346.880859375,334.237085095,315.845534166,0,0,18.142519935,325.307086638,313.825660051,19.135710979,5.102856261,0,0,10.124671655,0.931992876,18.142519935,131349.686396278,5272.000000000,0,0,0,80709.071777344,8,19,255.000000000,248.833328247,10.124671655,0.000000000,0.000000000,0.000000000,NaN,18.142519935
21,1 sec:z:8/14 t:20/95 - Mark_and_Find 001/mT8 25 vv% 4030,29.294034773,6134.735649957,1131.172717542,5180.666905403,4361.333496094,8872.072265625,333.918156579,318.715900545,0,0,21.390148806,327.858514769,309.998517855,14.032854718,19.135710979,0,0,52.674479517,0.804565572,21.390159384,179711.159452302,5944.660644531,0,0,0,110425.241699219,8,20,256.666656494,256.500000000,52.674413694,1.776E-15,0.000000000,0.000000000,NaN,21.390148806
22,1 sec:z:9/14 t:21/95 - Mark_and_Find 001/mT8 25 vv% 4030,29.294034773,5702.444919162,1517.634523406,6479.128671646,3820.217773438,9117.347656250,333.918146846,317.759105264,0,0,21.050355883,326.582800703,309.998517855,16.584282848,16.584282848,0,0,44.181544538,0.830749659,21.050351229,167047.619752418,4937.614257812,0,0,0,102644.008544922,9,21,255.833328247,254.833328247,44.181556847,0.000000000,0.000000000,0.000000000,NaN,21.050355883
23,1 sec:z:9/14 t:22/95 - Mark_and_Find 001/mT8 25 vv% 4030,27.666588397,6459.900907629,1262.975531131,5835.899287224,5229.205566406,9370.901367188,336.894816242,318.078043513,0,0,20.941623422,330.409942899,309.998517855,15.308568783,17.859996913,0,0,48.704627442,0.792765572,20.941627112,178723.419494290,5832.833496094,0,0,0,109818.315429688,9,22,258.666656494,255.500000000,48.704589051,0.000000000,0.000000000,0.000000000,NaN,20.941623422
24,1 sec:z:9/14 t:23/95 - Mark_and_Find 001/mT8 25 vv% 4030,29.294034773,5814.372287326,1163.522723458,5166.326055527,4659.052734375,8654.805664062,335.406476678,316.377088182,0,0,21.812886807,327.858514769,308.722803790,16.584282848,16.584282848,0,0,43.025065989,0.773682485,21.812877952,170326.423967454,5434.582031250,0,0,0,104658.701171875,9,23,256.666656494,253.833328247,43.025041069,0.000000000,0.000000000,0.000000000,NaN,21.812886807
25,1 sec:z:9/14 t:24/95 - Mark_and_Find 001/mT8 25 vv% 4030,32.548927525,6278.018139648,1860.359402301,4979.854293823,3458.185546875,9592.787109375,336.788513225,317.971730763,0,0,24.010890837,329.134228834,308.722803790,16.584282848,20.411425044,0,0,-129.610688240,0.709463408,24.010890837,204342.757430757,6102.541503906,0,0,0,125560.362792969,9,24,258.000000000,256.500000000,50.389311760,0.000000000,0.000000000,0.000000000,NaN,24.010890837
26,1 sec:z:9/14 t:25/95 - Mark_and_Find 001/mT8 25 vv% 4030,27.666588397,5596.172593061,1525.913673516,6649.496908665,3788.177978516,9719.333007812,334.874942128,315.207686866,0,0,20.602112909,329.134228834,306.171375660,12.757140652,19.135710979,0,0,-121.065164885,0.819109470,20.602093958,154827.003728633,5218.931152344,0,0,0,95134.934082031,9,25,258.333343506,254.000000000,58.934887632,0.000000000,0.000000000,0.000000000,NaN,20.602112909
27,1 sec:z:9/14 t:26/95 - Mark_and_Find 001/mT8 25 vv% 4030,30.921481149,6167.744628906,1264.496334950,4357.904947281,4347.944335938,9447.777343750,336.256959210,315.526605649,0,0,22.426014740,329.134228834,307.447089725,16.584282848,17.859996913,0,0,-132.310229677,0.772620000,22.426023475,190715.799275553,6032.981445312,0,0,0,117187.147949219,9,26,257.666656494,253.833328247,47.689745804,0.000000000,0.000000000,0.000000000,NaN,22.426014740
28,1 sec:z:9/14 t:27/95 - Mark_and_Find 001/mT8 25 vv% 4030,29.294034773,4928.764933268,866.388987924,3750.509382725,3271.883544922,6454.434570312,336.682210209,311.486847687,0,0,22.113399314,336.788513225,301.068519399,1.275714065,22.962853174,0,0,-89.449096021,0.752797278,22.113392701,144383.411342549,4891.221191406,0,0,0,88717.768798828,9,27,263.833343506,235.500000000,90.550870518,0.000000000,0.000000000,0.000000000,NaN,22.113399314
29,1 sec:z:9/14 t:28/95 - Mark_and_Find 001/mT8 25 vv% 4030,29.294034773,5592.425808377,863.842848051,5469.786916733,3894.500000000,7159.872070312,333.811843829,309.998517855,0,0,21.703808704,325.307086638,303.619947529,19.135710979,14.032854718,0,0,-34.624155080,0.781478710,21.703785312,163824.716095383,5470.568847656,0,0,0,100663.664550781,9,28,254.666671753,238.166671753,145.375843913,0.000000000,0.000000000,0.000000000,NaN,21.703808704
30,1 sec:z:9/14 t:29/95 - Mark_and_Find 001/mT8 25 vv% 4030,32.548927525,5290.841101074,1613.594234523,3519.013095379,3510.106689453,8070.186523438,333.705540812,312.337320486,0,0,23.943015392,325.307086638,303.619947529,17.859996913,19.135710979,0,0,48.239700296,0.713491589,23.943028356,172211.203547435,4744.533691406,0,0,0,105816.822021484,9,29,255.333328247,251.833328247,48.239665549,1.776E-15,0.000000000,0.000000000,NaN,23.943015392
31,1 sec:z:9/14 t:30/95 - Mark_and_Find 001/mT8 25 vv% 4030,34.176373902,5336.888346354,1520.800790121,7858.065877914,3528.055664062,8510.000000000,331.898282464,312.124704720,0,0,24.973458248,322.755658508,303.619947529,19.135710979,17.859996913,0,0,42.929969347,0.688618164,24.973463330,182395.491596638,4885.233398438,0,0,0,112074.655273438,9,30,253.000000000,251.333328247,42.929938169,0.000000000,0.000000000,0.000000000,NaN,24.973458248
32,1 sec:z:8/14 t:31/95 - Mark_and_Find 001/mT8 25 vv% 4030,35.803820278,5887.696178089,1084.614133632,4825.545105934,4818.590332031,8379.434570312,331.898282464,311.593160437,0,0,26.406733334,324.031372573,301.068519399,17.859996913,21.687139109,0,0,49.899092454,0.645223049,26.406751620,210802.015811629,5464.408203125,0,0,0,129529.315917969,8,31,253.500000000,252.166671753,49.899089053,0.000000000,0.000000000,0.000000000,NaN,26.406733334
33,1 sec:z:8/14 t:32/95 - Mark_and_Find 001/mT8 25 vv% 4030,34.176373902,5669.873930432,682.295888450,5495.518576622,4650.625000000,6963.916503906,332.855068013,310.211133622,0,0,25.444197960,324.031372573,302.344233464,19.135710979,17.859996913,0,0,41.951625060,0.663373800,25.444203274,193775.731421943,5547.533203125,0,0,0,119067.352539062,8,32,253.500000000,249.833328247,41.951594658,0.000000000,0.000000000,0.000000000,NaN,25.444197960
34,1 sec:z:8/14 t:33/95 - Mark_and_Find 001/mT8 25 vv% 4030,32.548927525,5572.809887695,830.427058118,5100.744900703,4587.421875000,7914.274902344,335.300173661,310.849000387,0,0,24.663805261,326.582800703,302.344233464,19.135710979,19.135710979,0,0,46.397181027,0.672397952,24.663814211,181388.985147599,5378.455078125,0,0,0,111456.197753906,8,33,256.166656494,250.666671753,46.397159197,0.000000000,0.000000000,0.000000000,NaN,24.663805261
35,1 sec:z:8/14 t:34/95 - Mark_and_Find 001/mT8 25 vv% 4030,34.176373902,5096.560686384,550.328291241,4805.476081848,4123.328125000,6600.347656250,334.768639111,311.380534937,0,0,26.007398884,324.031372573,303.619947529,22.962853174,16.584282848,0,0,34.339651705,0.634953628,26.007409599,174181.963630574,5044.077636719,0,0,0,107027.774414062,8,34,254.000000000,249.833328247,34.339635578,0.000000000,0.000000000,0.000000000,NaN,26.007398884
36,1 sec:z:8/14 t:35/95 - Mark_and_Find 001/mT8 25 vv% 4030,34.176373902,5038.626790365,912.636873388,3431.299739361,3425.083251953,6607.924804688,334.874942128,307.234473958,0,0,25.034929244,330.409942899,295.965663138,10.205712522,24.238567240,0,0,-110.897765499,0.685240637,25.034923182,172201.993138634,5272.666503906,0,0,0,105811.162597656,8,35,259.000000000,250.000000000,69.102229204,0.000000000,0.000000000,0.000000000,NaN,25.034929244
37,1 sec:z:8/14 t:36/95 - Mark_and_Find 001/mT8 25 vv% 4030,35.803820278,6027.902188388,2034.370794707,3647.532711506,3634.302490234,10408.175781250,330.409952632,307.659705491,0,0,26.522037804,320.204230377,298.517091268,21.687139109,19.135710979,0,0,41.099506258,0.639625034,26.522046959,215821.926606241,5327.440429688,0,0,0,132613.848144531,8,36,251.166671753,248.000000000,41.099507606,0.000000000,0.000000000,0.000000000,NaN,26.522037804
