seriesIndex,organoidLabel,Frame,X,Y,Slice,Length,FeretAngle
12,A,1,302.022122281,335.006618882,4,67.434457136,153.159507713
12,A,2,302.023309698,336.811872248,4,65.880935588,155.961418777
12,A,3,303.832563296,336.150656193,4,68.699304881,158.198584484
12,A,4,306.383991426,334.874942128,4,63.785703262,143.130091863
12,A,5,301.918992198,338.276843057,4,60.582614942,156.854213411
12,A,6,304.683045828,333.173986796,4,58.738286642,145.619681669
12,A,7,300.643278132,337.213744759,4,53.805634240,160.132944344
12,A,8,299.580189567,336.575887726,4,53.044075609,167.969419074
12,A,9,294.902564839,337.426370258,4,56.981894914,0.000000000
12,A,10,295.540421871,328.071140268,4,48.575883093,159.502647794
12,A,11,293.414235007,332.323513997,3,48.501374447,148.260867269
12,A,12,289.374467312,330.409952632,3,70.923022315,20.716879958
12,A,13,287.460896214,323.818756806,3,67.954313174,5.746263766
12,A,14,285.122093583,328.283756035,3,62.965388905,154.819450475
12,A,15,282.570665452,325.094461139,3,58.510032184,147.464936721
12,A,16,280.019237322,326.157559437,3,58.033695919,151.557065743
12,A,17,279.168764523,323.180899774,3,56.850045522,146.904267623
12,A,18,281.294951387,323.393515540,3,54.244106116,138.814074834
12,A,19,278.956148756,325.307086638,3,55.577812319,148.134022306
12,A,20,280.231853088,322.117791742,3,59.242539818,134.127542742
12,A,21,280.231853088,322.117791742,4,59.242539818,134.127542742
12,A,22,277.467809191,321.479944442,4,56.261738347,122.969403903
12,A,23,276.829952159,320.629461910,4,56.532672219,134.390502624
12,A,24,280.231862821,316.589703948,4,58.973323682,128.853386204
12,A,25,284.271620784,322.543033008,4,39.981420638,113.838756205
12,A,26,281.294951387,323.606131307,4,41.204225817,121.065144772
12,A,27,282.783281219,319.778998844,4,39.531129202,101.793416635
12,A,28,281.720192653,320.416855877,4,38.796998217,116.003328830
12,A,29,278.743523257,321.267318943,4,37.507825565,122.969414691
12,A,30,280.657094355,320.842087410,4,39.428073046,163.715090342
12,A,31,281.720182920,320.842087410,4,38.271421957,90.000000000
12,A,32,281.294951387,321.692569942,4,38.787675377,74.744886341
12,A,33,279.381380289,318.290649546,4,40.931230505,66.097945909
12,A,34,278.530907490,316.589703948,4,40.245133857,51.434737687
12,A,35,282.570665452,317.652811980,4,39.198089323,74.908429791
12,A,36,278.956148756,317.014954947,4,41.274383111,117.621070807
12,A,37,279.806621555,315.101383849,4,41.250280000,142.539443467
12,A,38,279.806621555,318.078043513,4,36.565524908,81.304505636
12,A,39,278.956139023,318.078043513,4,37.173684251,35.690078358
12,A,40,278.318281991,314.676132850,4,43.997239128,122.768519904
12,A,41,278.105666224,311.912079220,4,42.364037795,109.344332179
12,A,42,273.002809963,309.785892356,4,46.053493711,132.380474013
12,A,43,272.577578430,311.274222188,4,46.368496745,137.973737038
12,A,44,277.042567925,305.533518627,4,46.922852851,133.531204455
12,A,45,282.358039953,298.942332534,4,47.065224375,124.695158027
12,A,46,284.484236550,291.500663909,4,50.259104681,122.210919838
12,A,47,284.696862050,288.311378746,4,50.208708775,117.216111557
12,A,48,283.421147985,288.949235779,4,50.350767616,127.450569252
12,A,49,284.058995284,290.437565610,4,48.503238558,115.441744834
12,A,50,283.421147985,292.563752475,4,48.021781674,129.610688240
12,A,51,287.460905947,293.839476273,3,47.371591967,114.954754379
12,A,52,287.248280447,295.115190338,3,46.824479961,124.267346475
12,A,53,287.248290180,294.689949072,3,48.089513417,111.801409486
12,A,54,284.271620784,290.224949844,3,48.893127322,130.060780490
12,A,55,285.122093583,290.437565610,3,47.628556782,119.998671922
12,A,56,285.122093583,296.390904404,3,44.568920964,127.635261873
12,A,57,287.886137480,292.138520942,3,46.212241889,116.800820512
12,A,58,283.208522485,291.925905175,3,45.888285907,119.415588698
12,A,59,285.122093583,290.224949844,3,46.845715116,105.802509632
12,A,60,285.547325116,292.138520942,3,42.175809290,86.531770741
12,A,61,285.547325116,292.138520942,4,42.175809290,86.531770741
12,A,62,283.633754018,294.689949072,4,45.992593256,72.235151632
12,A,63,282.783290952,295.540421871,4,46.039749037,111.113497170
12,A,64,284.271620784,294.264707806,4,43.058368261,55.054347623
12,A,65,284.484236550,293.414235007,4,44.684403054,163.979719099
12,A,66,282.783281219,294.902564839,4,45.412952045,43.861823222
12,A,67,282.145424186,293.626850774,4,45.299327292,39.667852675
12,A,68,282.995906718,295.115190338,4,44.811694913,136.153450687
12,A,69,280.019237322,295.753047371,4,46.969074685,42.064321824
12,A,70,281.932808420,296.603520170,4,45.165402898,52.266967426
12,A,71,283.421147985,294.689949072,4,43.175796580,39.805557863
12,A,72,285.334709349,295.327806105,4,46.233758246,55.871459582
12,A,73,284.484236550,293.201619240,4,44.972816133,40.013672560
12,A,74,288.524004246,294.902564839,4,46.706546155,56.888662388
12,A,75,283.208522485,290.862806877,4,46.555310314,39.068463009
12,A,76,284.696852317,293.839466540,4,44.900383133,61.735988559
12,A,77,284.271620784,292.351136708,4,44.647967295,107.744682093
12,A,78,283.421138252,292.989003474,4,46.163303782,121.054278016
